,Results,Prediction,Accuracy,
0,andy,andy,0.9999137,Match
1,andy,andy,0.99995995,Match
2,andy,andy,0.9959875,Match
3,andy,sz,0.9984982,Nope
4,andy,andy,0.9999862,Match
5,azfar,cy,0.9965585,Nope
6,azfar,cy,0.53325,Nope
7,azfar,sz,0.99663347,Nope
8,azfar,sz,0.9987231,Nope
9,azfar,sz,0.99923277,Nope
10,bryce,chris,0.967193,Nope
11,bryce,qk,0.9776839,Nope
12,bryce,qk,0.9948397,Nope
13,bryce,chris,0.81768805,Nope
14,bryce,bryce,0.9845904,Match
15,chris,chris,0.98152393,Match
16,chris,azfar,0.9997862,Nope
17,chris,qk,0.9797183,Nope
18,chris,chris,0.8535346,Match
19,chris,chris,0.9922334,Match
20,cy,cy,0.99673504,Match
21,cy,sz,0.9959525,Nope
22,cy,sz,0.99927217,Nope
23,cy,sz,0.9991897,Nope
24,cy,cy,0.9981572,Match
25,gerald,sz,0.9992711,Nope
26,gerald,sz,0.9992717,Nope
27,gerald,sz,0.9992705,Nope
28,gerald,sz,0.99927217,Nope
29,gerald,sz,0.9992741,Nope
30,ken,andy,0.97057414,Nope
31,ken,ken,0.99985826,Match
32,ken,ken,0.99985635,Match
33,ken,andy,0.997341,Nope
34,ken,sz,0.9477871,Nope
35,qk,sz,0.99722797,Nope
36,qk,sz,0.8319781,Nope
37,qk,sz,0.97672963,Nope
38,qk,sz,0.9992193,Nope
39,qk,sz,0.9992254,Nope
40,sz,sz,0.99797994,Match
41,sz,sz,0.9992681,Match
42,sz,sz,0.9992618,Match
43,sz,sz,0.9992729,Match
44,sz,sz,0.99926084,Match
45,vale,qk,0.8118946,Nope
46,vale,sz,0.999241,Nope
47,vale,andy,0.9988752,Nope
48,vale,ken,0.8829943,Nope
49,vale,andy,0.9999267,Nope
50,ye,sz,0.99903,Nope
51,ye,andy,0.99991536,Nope
52,ye,ken,0.9998221,Nope
53,ye,andy,0.9999485,Nope
54,ye,andy,0.8141097,Nope
55,ys,ken,0.99965084,Nope
56,ys,ken,0.71041197,Nope
57,ys,ken,0.98273426,Nope
58,ys,ken,0.9557455,Nope
59,ys,sz,0.5557254,Nope
