,Results,Prediction,Accuracy,
0,andy,ken,0.9996958,Nope
1,andy,ken,0.99971277,Nope
2,andy,ken,0.9997366,Nope
3,andy,ken,0.999466,Nope
4,andy,sz,0.99380374,Nope
5,azfar,azfar,0.99983,Match
6,azfar,azfar,0.99983275,Match
7,azfar,azfar,0.99983215,Match
8,azfar,azfar,0.9998355,Match
9,azfar,azfar,0.999833,Match
10,bryce,bryce,0.97137535,Match
11,bryce,bryce,0.96993184,Match
12,bryce,bryce,0.7727856,Match
13,bryce,chris,0.93997496,Nope
14,bryce,chris,0.8928027,Nope
15,chris,chris,0.93750423,Match
16,chris,bryce,0.7692575,Nope
17,chris,chris,0.98741585,Match
18,chris,chris,0.99045885,Match
19,chris,chris,0.9112923,Match
20,cy,cy,0.99828315,Match
21,cy,cy,0.99828374,Match
22,cy,cy,0.9982822,Match
23,cy,cy,0.9982855,Match
24,cy,cy,0.9982785,Match
25,gerald,cy,0.998235,Nope
26,gerald,cy,0.99818003,Nope
27,gerald,cy,0.9982146,Nope
28,gerald,cy,0.9982217,Nope
29,gerald,sz,0.99924374,Nope
30,ken,azfar,0.99983144,Nope
31,ken,azfar,0.99980587,Nope
32,ken,sz,0.98655206,Nope
33,ken,sz,0.8367761,Nope
34,ken,sz,0.9941407,Nope
35,qk,azfar,0.9998264,Nope
36,qk,azfar,0.99981993,Nope
37,qk,azfar,0.9998233,Nope
38,qk,azfar,0.99981993,Nope
39,qk,azfar,0.99982435,Nope
40,sz,cy,0.9982167,Nope
41,sz,cy,0.99811554,Nope
42,sz,cy,0.99828655,Nope
43,sz,cy,0.9975526,Nope
44,sz,cy,0.9981148,Nope
45,vale,cy,0.99762493,Nope
46,vale,sz,0.99833137,Nope
47,vale,cy,0.9774304,Nope
48,vale,sz,0.99712104,Nope
49,vale,sz,0.9981224,Nope
50,ye,ken,0.99979466,Nope
51,ye,ken,0.99985206,Nope
52,ye,ken,0.9998186,Nope
53,ye,azfar,0.9952769,Nope
54,ye,ken,0.99983215,Nope
55,ys,ys,0.9996487,Match
56,ys,cy,0.9974369,Nope
57,ys,cy,0.99390763,Nope
58,ys,qk,0.99770206,Nope
59,ys,sz,0.996046,Nope
