,Results,Prediction,Accuracy,
0,andy,ken,0.9998055,Nope
1,andy,andy,0.9930917,Match
2,andy,andy,0.9985221,Match
3,andy,andy,0.9799682,Match
4,andy,andy,0.9999865,Match
5,azfar,sz,0.9080934,Nope
6,azfar,ken,0.9335891,Nope
7,azfar,ken,0.6799353,Nope
8,azfar,sz,0.98706436,Nope
9,azfar,ken,0.9893197,Nope
10,bryce,chris,0.98567945,Nope
11,bryce,bryce,0.9945779,Match
12,bryce,bryce,0.9469792,Match
13,bryce,bryce,0.9825774,Match
14,bryce,bryce,0.99450386,Match
15,chris,ye,0.99819237,Nope
16,chris,chris,0.96795493,Match
17,chris,ye,0.9988254,Nope
18,chris,ye,0.99637294,Nope
19,chris,ye,0.9295365,Nope
20,cy,sz,0.7596153,Nope
21,cy,sz,0.99807465,Nope
22,cy,sz,0.9718916,Nope
23,cy,sz,0.5469178,Nope
24,cy,cy,0.99644023,Match
25,gerald,sz,0.9991015,Nope
26,gerald,sz,0.9992422,Nope
27,gerald,sz,0.9992392,Nope
28,gerald,sz,0.9992161,Nope
29,gerald,sz,0.9991571,Nope
30,ken,ken,0.99980646,Match
31,ken,ken,0.99986434,Match
32,ken,ken,0.999864,Match
33,ken,ken,0.99986136,Match
34,ken,ken,0.99986255,Match
35,qk,gerald,0.8527716,Nope
36,qk,azfar,0.8443681,Nope
37,qk,qk,0.56763035,Match
38,qk,ken,0.9979583,Nope
39,qk,qk,0.49014133,Match
40,sz,sz,0.99926203,Match
41,sz,sz,0.99925774,Match
42,sz,sz,0.99925953,Match
43,sz,sz,0.9992536,Match
44,sz,sz,0.9992557,Match
45,vale,sz,0.99924576,Nope
46,vale,andy,0.99987245,Nope
47,vale,vale,0.99965835,Match
48,vale,vale,0.99970406,Match
49,vale,vale,0.9977162,Match
50,ye,ken,0.99985874,Nope
51,ye,ken,0.9998559,Nope
52,ye,ken,0.99986005,Nope
53,ye,ken,0.9998611,Nope
54,ye,ken,0.9998596,Nope
55,ys,ys,0.9993387,Match
56,ys,ys,0.99963284,Match
57,ys,ys,0.99681693,Match
58,ys,ys,0.6188243,Match
59,ys,ys,0.9863448,Match
