,Results,Prediction,Accuracy,
0,andy,andy,0.9998504,Match
1,andy,ken,0.9961669,Nope
2,andy,andy,0.99997544,Match
3,andy,ken,0.99823713,Nope
4,andy,vale,0.99883646,Nope
5,azfar,ken,0.99982494,Nope
6,azfar,ken,0.9908381,Nope
7,azfar,andy,0.99982315,Nope
8,azfar,ken,0.9991258,Nope
9,azfar,ken,0.9996445,Nope
10,bryce,bryce,0.86454797,Match
11,bryce,bryce,0.56661797,Match
12,bryce,ye,0.915751,Nope
13,bryce,bryce,0.9438227,Match
14,bryce,ye,0.8588981,Nope
15,chris,bryce,0.87413365,Nope
16,chris,ye,0.9898403,Nope
17,chris,bryce,0.7333075,Nope
18,chris,bryce,0.7537288,Nope
19,chris,bryce,0.8342791,Nope
20,cy,vale,0.72159845,Nope
21,cy,vale,0.82075155,Nope
22,cy,vale,0.5839939,Nope
23,cy,vale,0.9975715,Nope
24,cy,vale,0.5516858,Nope
25,gerald,vale,0.9996233,Nope
26,gerald,vale,0.9997583,Nope
27,gerald,vale,0.9997365,Nope
28,gerald,vale,0.99975044,Nope
29,gerald,vale,0.9527702,Nope
30,ken,ye,0.99875784,Nope
31,ken,vale,0.997863,Nope
32,ken,vale,0.99708956,Nope
33,ken,vale,0.8822377,Nope
34,ken,vale,0.99896836,Nope
35,qk,bryce,0.46258932,Nope
36,qk,ken,0.99792707,Nope
37,qk,ken,0.99957556,Nope
38,qk,ken,0.99718374,Nope
39,qk,ken,0.999321,Nope
40,sz,ys,0.91972595,Nope
41,sz,ye,0.9614158,Nope
42,sz,vale,0.9994305,Nope
43,sz,vale,0.7382052,Nope
44,sz,vale,0.99928904,Nope
45,vale,vale,0.9997701,Match
46,vale,vale,0.99977726,Match
47,vale,vale,0.99975973,Match
48,vale,vale,0.9997726,Match
49,vale,vale,0.99977976,Match
50,ye,vale,0.9996972,Nope
51,ye,vale,0.7086745,Nope
52,ye,ye,0.9986922,Match
53,ye,ken,0.79887146,Nope
54,ye,ye,0.5606017,Match
55,ys,ys,0.9984818,Match
56,ys,bryce,0.98835003,Nope
57,ys,ys,0.9986304,Match
58,ys,ye,0.9494166,Nope
59,ys,ys,0.9996953,Match
