Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
qikai,4,pean rains,0.14100194,0.315000534,0.151000738,0.173998594,0.163999796,0.21500206,0.092003584,0.051002264,0.122998476,0.261995554,0.171995163,0.138997078,0.090000391,0.328534126,0.246006966,0.238533735,0.082527161,0.315596342,0.161523819,0.233069181,0.154072523,0.4110744,0.281074047,0.257001877,0.130000353,0.258002281,0.171002626,0.128001928,0.086999655,0.29313159,0.18599534,0.206131935,0.10713625,0.326522827,0.201681376,0.219386578,0.124841452
qikai,4,nows owlet,0.066000462,0.296653748,0.216131926,0.230653286,0.080521822,0.139528751,0.062524557,0.059006929,0.077004194,0.280997992,0.177999735,0.203993797,0.102998257,0.250996113,0.149999142,0.147997856,0.100996971,0.204970121,0.116000891,0.10397315,0.088969231,0.194969416,0.102968454,0.106000185,0.092000961,0.243003845,0.167005062,0.151002884,0.075998783,0.255998135,0.093996048,0.179999352,0.162002087,0.255999327,0.141999245,0.09399724,0.114000082
qikai,6,houses why,0.093746424,0.17187953,0.093746424,0.078133106,0.078133106,0.265631437,0.18750596,0.187498331,0.078125477,0.191513062,0.078125477,0.113387585,0.113387585,0.244381905,0.110386372,0.13099432,0.133995533,0.210000515,0.104996443,0.076004982,0.105004072,0.243004084,0.168999434,0.138000011,0.07400465,0.175001383,0.083004475,0.100996733,0.091996908,0.187998056,0.103997946,0.096001148,0.084000111,0.235001802,0.167001724,0.151001692,0.068000078
qikai,5,dudes noon,0.073390245,0.182605505,0.120194912,0.10921526,0.062410593,0.156160116,0.031165838,0.093749523,0.124994278,0.249998808,0.10936904,0.12500453,0.140629768,0.156250954,0.093755007,0.015621185,0.062495947,0.234373569,0.140624285,0.171877623,0.093749285,0.343750477,0.296874523,0.250001192,0.046875954,0.234377861,0.171875954,0.187501907,0.062501907,0.227621078,0.140627623,0.165119171,0.086993456,0.275004625,0.198989391,0.188011169,0.076015234
qikai,6,sunned all,0.109089851,0.468489885,0.405982256,0.359400034,0.062507629,0.250000715,0.187498808,0.187493086,0.062501907,0.203189135,0.125249386,0.140687227,0.077939749,0.202958584,0.062315226,0.125018835,0.140643358,0.250001431,0.140643358,0.109358072,0.109358072,0.218733311,0.12498498,0.109375238,0.093748331,0.234377623,0.140625238,0.140629292,0.093752384,0.187497616,0.140622377,0.093745232,0.046875238,0.187446356,0.109375954,0.140571117,0.078070402
qikai,3,wye prawns,0.124000311,0.332004547,0.220000982,0.208004236,0.112003565,0.206001043,0.109060764,0.093997478,0.096940279,0.248939514,0.183935881,0.151999235,0.065003633,0.338006496,0.250006199,0.273002863,0.088000298,0.20199728,0.111013651,0.113996983,0.090983629,0.240983486,0.132983446,0.149999857,0.10800004,0.210000992,0.116001129,0.102000952,0.093999863,0.197002172,0.122997999,0.10300231,0.074004173,0.159001112,0.112000704,0.084996939,0.047000408
qikai,6,ketose dox,0.089998484,0.116003036,0.053001404,0.026004553,0.063001633,0.264998913,0.191001892,0.20199728,0.073997021,0.218000889,0.138996124,0.144003868,0.079004765,0.154002905,0.069000483,0.07499814,0.085002422,0.14599824,0.070997715,0.060995817,0.075000525,0.208004236,0.095001221,0.133003712,0.113003016,0.268001318,0.178001642,0.154998302,0.089999676,0.176027775,0.112999916,0.086028099,0.063027859,0.185005903,0.108217478,0.121978045,0.076788425
qikai,3,sty nepers,0.092704058,0.248874426,0.170749426,0.156170368,0.078125,0.250473976,0.140688181,0.172348976,0.109785795,0.187804461,0.094066143,0.078018665,0.093738317,0.281289101,0.218758821,0.187550783,0.062530279,0.155820131,0.124553204,0.093289852,0.031266928,0.171960592,0.093767166,0.140693665,0.078193426,0.109438419,0.04694438,0.031244993,0.06249404,0.252227545,0.160698652,0.189733505,0.091528893,0.166403294,0.080653429,0.074874401,0.085749865
qikai,6,xylene led,0.069015026,0.224737406,0.193472862,0.15572238,0.031264544,0.687947512,0.616449833,0.656682968,0.071497679,0.118515968,0.087230444,0.04701829,0.031285524,0.155792952,0.093283653,0.124507427,0.062509298,0.125022888,0.031257391,0.06251359,0.093765497,0.281304598,0.140630722,0.187539101,0.140673876,0.234374046,0.156189203,0.093700171,0.078184843,0.125129461,0.047023296,0.046944618,0.078106165,0.26384902,0.125003576,0.185742855,0.138845444
qikai,5,sylph arse,0.077532768,0.358712435,0.233890533,0.281179667,0.124821901,0.265295267,0.17176342,0.140473366,0.093531847,0.280988216,0.202801704,0.187456369,0.078186512,0.218751192,0.109382868,0.14056468,0.109368324,0.296866179,0.187496185,0.187497854,0.109369993,0.40627718,0.281242132,0.296907187,0.125035048,0.218783855,0.125035048,0.093748808,0.093748808,0.28125,0.187496185,0.187501192,0.093753815,0.171844006,0.093753815,0.078090191,0.078090191
