,key,press_time,release_time
0,'l',1650873264.5393817,1650873264.6504276
1,'i',1650873264.930728,1650873265.0659945
2,'f',1650873265.2022471,1650873265.370509
3,'e',1650873265.3865085,1650873265.5545144
4,'r',1650873265.5305138,1650873265.6505182
5,key.space,1650873265.8425221,1650873265.9705274
6,'w',1650873266.1225314,1650873266.2585397
7,'i',1650873266.2425377,1650873266.426545
8,'n',1650873266.3545442,1650873266.490547
9,'e',1650873266.4665458,1650873266.5785518
,key,press_time,release_time
0,'r',1650873270.555221,1650873270.7467484
1,'e',1650873270.6585534,1650873270.8027456
2,'d',1650873270.898646,1650873271.0425568
3,key.space,1650873271.7386067,1650873271.898311
4,'a',1650873272.579346,1650873272.6668546
5,'m',1650873272.7067933,1650873272.8268456
6,'u',1650873272.9388437,1650873273.0348694
7,'l',1650873273.210804,1650873273.3227947
8,'e',1650873273.4108992,1650873273.4988954
9,'t',1650873273.579434,1650873273.6834764
,key,press_time,release_time
0,'s',1650873276.7308898,1650873276.84289
1,'t',1650873276.9628994,1650873277.074898
2,'e',1650873277.1469033,1650873277.2589073
3,'l',1650873277.2909074,1650873277.4109147
4,'e',1650873277.4269097,1650873277.5389142
5,key.space,1650873277.7069209,1650873277.8349247
6,'i',1650873278.6907096,1650873278.8029962
7,'s',1650873278.8827033,1650873279.0110953
8,'l',1650873279.026768,1650873279.1627057
9,'e',1650873279.1789634,1650873279.2748163
,key,press_time,release_time
0,'e',1650873282.8187916,1650873282.9147933
1,'l',1650873282.9790518,1650873283.1874244
2,'m',1650873283.0748925,1650873283.2198038
3,key.space,1650873284.4268646,1650873284.5308692
4,'u',1650873284.7228782,1650873284.8188808
5,'p',1650873284.9548898,1650873285.0908914
6,'f',1650873285.2589016,1650873285.338904
7,'l',1650873285.378895,1650873285.4829063
8,'o',1650873285.5389276,1650873285.6669104
9,'w',1650873285.7149153,1650873285.8189132
,key,press_time,release_time
0,'h',1650873305.3003721,1650873305.4433403
1,'a',1650873305.523263,1650873305.619936
2,'m',1650873305.732024,1650873305.8356006
3,'m',1650873305.9080203,1650873305.9960382
4,'e',1650873307.1797266,1650873307.2441337
5,'d',1650873307.3474774,1650873307.4674878
6,key.space,1650873307.5074873,1650873307.6114862
7,'b',1650873307.8355045,1650873307.9074974
8,'i',1650873307.947503,1650873308.05951
9,'g',1650873308.0845115,1650873308.1795068
,key,press_time,release_time
0,'n',1650873311.0444007,1650873311.147415
1,'o',1650873311.2361262,1650873311.3642132
2,'m',1650873311.380219,1650873311.4997313
3,'a',1650873311.483728,1650873311.612129
4,'d',1650873311.5881891,1650873311.732112
5,key.space,1650873311.7557604,1650873311.8754961
6,'y',1650873312.5401378,1650873312.6356626
7,'a',1650873312.835672,1650873312.9396715
8,'c',1650873313.0276723,1650873313.1726842
9,'k',1650873313.1396782,1650873313.2436836
,key,press_time,release_time
0,'r',1650873315.795769,1650873315.9237788
1,'i',1650873316.0037813,1650873316.1237838
2,'p',1650873316.1477842,1650873316.2597919
3,key.space,1650873316.2917852,1650873316.3797944
4,'b',1650873316.4757986,1650873316.571803
5,'r',1650873316.7558193,1650873316.8359
6,'a',1650873317.0677586,1650873317.1563935
7,'w',1650873317.2679658,1650873317.348004
8,'n',1650873317.3799758,1650873317.4849713
9,'s',1650873317.5079813,1650873317.5959759
,key,press_time,release_time
0,'m',1650873320.6200862,1650873320.7728667
1,'o',1650873320.7965267,1650873320.9240174
