,key,press_time,release_time
0,'o',1652953910.5875137,1652953910.6755116
1,'h',1652953911.3075373,1652953911.3645039
2,'m',1652953911.5168798,1652953911.5717084
3,key.space,1652953911.7025447,1652953911.7695422
4,'f',1652953911.783653,1652953911.9038458
5,'i',1652953911.9278736,1652953911.9836662
6,'l',1652953912.1356583,1652953912.2026548
7,'m',1652953912.3547876,1652953912.420681
8,'e',1652953912.455824,1652953912.5338337
9,'d',1652953912.6535347,1652953912.7196538
0,'h',1652953932.905005,1652953932.9830408
1,'e',1652953933.0069942,1652953933.1050324
2,'a',1652953933.267377,1652953933.345505
3,'t',1652953933.6903348,1652953933.757055
4,key.space,1652953933.8979816,1652953933.9650333
5,'a',1652953933.9991426,1652953934.0871577
6,'t',1652953934.1430326,1652953934.1999662
7,'o',1652953934.3842194,1652953934.4499688
8,'m',1652953934.8270428,1652953934.9144964
9,'s',1652953934.9806397,1652953935.0586507
0,'c',1652953937.5104992,1652953937.6098957
1,'h',1652953937.7730253,1652953937.8494406
2,'a',1652953937.8628814,1652953937.961937
3,'n',1652953937.961937,1652953938.0498855
4,'t',1652953938.1379216,1652953938.1940672
5,key.space,1652953938.463876,1652953938.5199232
6,'a',1652953938.587067,1652953938.6958625
7,'x',1652953938.8049366,1652953938.8933935
8,'i',1652953938.9068577,1652953938.9628565
9,'s',1652953939.0398545,1652953939.1069183
0,'o',1652953941.5378048,1652953941.604846
1,'l',1652953941.692539,1652953941.770863
2,'d',1652953941.7718725,1652953941.8587976
3,'i',1652953941.882797,1652953941.959841
4,'e',1652953941.9833343,1652953942.0617845
5,'s',1652953942.1498377,1652953942.25878
6,key.space,1652953942.2717795,1652953942.3278239
7,'b',1652953942.7687764,1652953942.856766
8,'a',1652953942.8692155,1652953942.9577718
9,'y',1652953942.9920566,1652953943.0488422
0,'g',1652953949.0448875,1652953949.1116748
1,'y',1652953949.2202115,1652953949.2666178
2,'m',1652953949.4184513,1652953949.485621
3,key.space,1652953949.6266708,1652953949.6826162
4,'z',1652953949.909611,1652953950.0186086
5,'y',1652953950.2025962,1652953950.2486625
6,'g',1652953950.5075972,1652953950.627799
7,'o',1652953950.651594,1652953950.7185924
8,'t',1652953950.763638,1652953950.8836591
9,'e',1652953951.0242066,1652953951.1025836
0,'a',1652953953.3621132,1652953953.4935284
1,'m',1652953953.5495267,1652953953.6165817
2,'i',1652953953.7257214,1652953953.7925131
3,'d',1652953953.793024,1652953953.8694475
4,key.space,1652953953.9145112,1652953953.9806101
5,'e',1652953954.0165079,1652953954.0835147
6,'x',1652953954.1816816,1652953954.28051
7,'i',1652953954.2815204,1652953954.336941
8,'l',1652953954.435498,1652953954.5020425
9,'e',1652953954.5267444,1652953954.5925028
0,'k',1652953956.7894518,1652953956.8554504
1,'i',1652953956.95451,1652953957.0000367
2,'n',1652953957.0986261,1652953957.154204
3,'d',1652953957.1686096,1652953957.2343593
4,'a',1652953957.344484,1652953957.4564364
5,key.space,1652953957.4114294,1652953957.4694812
6,'m',1652953957.5684946,1652953957.6565156
7,'u',1652953957.755429,1652953957.811585
8,'t',1652953957.9524245,1652953958.008426
9,'e',1652953958.0434604,1652953958.088463
0,'r',1652953960.3923604,1652953960.4693663
1,'a',1652953960.6962035,1652953960.8373578
2,'f',1652953960.861411,1652953960.9395401
3,'t',1652953961.0383537,1652953961.104415
4,'e',1652953961.1054258,1652953961.160351
5,'r',1652953961.2594128,1652953961.3263903
6,key.space,1652953961.360346,1652953961.4273844
7,'v',1652953961.5792053,1652953961.6353316
8,'e',1652953961.70233,1652953961.769386
9,'x',1652953961.900334,1652953961.9883313
0,'e',1652953963.949379,1652953964.0592837
1,'l',1652953964.3072782,1652953964.3742003
2,'f',1652953964.39826,1652953964.4862428
3,key.space,1652953964.5742004,1652953964.6303785
