,key,press_time,release_time
0,'o',1652948727.270631,1652948727.355535
1,'h',1652948727.3711586,1652948727.4872165
2,'m',1652948727.4559665,1652948727.6413202
3,key.space,1652948727.5564914,1652948727.6882846
4,'f',1652948727.7195346,1652948727.819985
5,'i',1652948727.7731094,1652948727.8631814
6,'l',1652948727.9737537,1652948728.0580173
7,'m',1652948728.1741953,1652948728.2589862
8,'e',1652948728.2275963,1652948728.3438528
9,'d',1652948728.4062622,1652948728.5288055
0,'h',1652948742.2459853,1652948742.3620343
1,'e',1652948742.299629,1652948742.4156868
2,'a',1652948742.3843887,1652948742.51621
3,'t',1652948742.531927,1652948742.6011386
4,key.space,1652948742.547552,1652948742.6636393
5,'a',1652948743.0341547,1652948743.1346698
6,'t',1652948743.1815453,1652948743.288006
7,'o',1652948743.2193716,1652948743.319363
8,'m',1652948743.4042826,1652948743.4890015
9,'s',1652948743.520398,1652948743.604799
0,'c',1652948751.6360576,1652948751.7522953
1,'h',1652948751.7365947,1652948751.837195
2,'a',1652948751.8684444,1652948751.953272
3,'n',1652948751.9375553,1652948752.0849147
4,'t',1652948752.0692878,1652948752.1539981
5,key.space,1652948752.169735,1652948752.2857425
6,'a',1652948752.3170855,1652948752.4240704
7,'x',1652948752.517925,1652948752.6405556
8,'i',1652948752.618261,1652948752.703058
9,'s',1652948752.7409794,1652948752.857037
0,'o',1652948754.8114169,1652948754.9117749
1,'l',1652948755.0122166,1652948755.128293
2,'d',1652948755.1126673,1652948755.2382243
3,'i',1652948755.213128,1652948755.3356001
4,'e',1652948755.3163552,1652948755.413873
5,'s',1652948755.4674428,1652948755.5677109
6,key.space,1652948755.5521717,1652948755.6682444
7,'b',1652948755.683871,1652948755.8000193
8,'a',1652948755.7531416,1652948755.853572
9,'y',1652948755.8156006,1652948755.900445
0,'g',1652948757.8609297,1652948757.9456928
1,'y',1652948758.06139,1652948758.1930838
2,'m',1652948758.146058,1652948758.3091536
3,key.space,1652948758.2465024,1652948758.3628032
4,'z',1652948758.4252758,1652948758.547445
5,'y',1652948758.647876,1652948758.7641764
6,'g',1652948758.9494588,1652948759.0656788
7,'o',1652948759.0969467,1652948759.1975176
8,'t',1652948759.2287662,1652948759.3322506
9,'e',1652948759.467295,1652948759.5834453
0,'a',1652948761.9905083,1652948762.106451
1,'m',1652948762.0530071,1652948762.159505
2,'i',1652948762.2594936,1652948762.375686
3,'d',1652948762.3600137,1652948762.4762063
4,key.space,1652948762.5075488,1652948762.6078908
5,'e',1652948762.8926046,1652948762.9931247
6,'x',1652948763.0935698,1652948763.209543
7,'i',1652948763.2455347,1652948763.3566556
8,'l',1652948763.479418,1652948763.595484
9,'e',1652948763.5798588,1652948763.6959133
0,'k',1652948765.8877785,1652948765.988321
1,'i',1652948766.072906,1652948766.1511767
2,'n',1652948766.235824,1652948766.3519301
3,'d',1652948766.2893994,1652948766.4521756
4,'a',1652948766.3740246,1652948766.474327
5,key.space,1652948766.489992,1652948766.637305
6,'m',1652948766.6216671,1652948766.7059357
7,'u',1652948766.8064635,1652948766.875607
8,'t',1652948766.922625,1652948767.0694203
9,'e',1652948767.2301066,1652948767.3535857
0,'r',1652948769.5606658,1652948769.6454148
1,'a',1652948769.7458944,1652948769.8619564
2,'f',1652948769.8999214,1652948770.0004442
3,'t',1652948770.1009312,1652948770.1634293
4,'e',1652948770.2854474,1652948770.363724
5,'r',1652948770.4484544,1652948770.532817
6,key.space,1652948770.5484407,1652948770.664508
7,'v',1652948770.7492378,1652948770.8868995
8,'e',1652948770.980802,1652948771.065565
9,'x',1652948771.1654627,1652948771.320054
0,'e',1652948773.1423352,1652948773.24245
1,'l',1652948773.2736971,1652948773.4025698
2,'f',1652948773.3852923,1652948773.4958224
3,key.space,1652948773.4687233,1652948773.6115322
4,'j',1652948773.589734,1652948773.6957526
5,'u',1652948773.8432245,1652948773.9436457
6,'i',1652948774.0285408,1652948774.1290624
7,'c',1652948774.1133854,1652948774.1915636
8,'e',1652948774.2762978,1652948774.392535
9,'y',1652948774.3300333,1652948774.4304576
0,'l',1652948779.611169,1652948779.705058
1,'i',1652948779.7742817,1652948779.8590364
2,'m',1652948779.9282296,1652948780.0443196
3,'b',1652948779.9907293,1652948780.0755029
4,key.space,1652948780.09109,1652948780.1915684
5,'y',1652948780.2137299,1652948780.329891
6,'o',1652948780.314144,1652948780.3924105
7,'u',1652948780.4611309,1652948780.5615895
8,'n',1652948780.630925,1652948780.7155962
9,'g',1652948780.693422,1652948780.793749
0,'e',1652948783.0204587,1652948783.1207733
1,'i',1652948783.1142447,1652948783.2146263
2,'g',1652948783.220719,1652948783.3209152
3,'h',1652948783.301718,1652948783.4213345
4,'t',1652948783.399178,1652948783.4839406
5,key.space,1652948783.46824,1652948783.5530164
6,'k',1652948783.5216327,1652948783.615518
7,'n',1652948783.6842363,1652948783.7845306
8,'o',1652948783.8537,1652948783.9383376
9,'w',1652948783.9540613,1652948784.023141
0,'w',1652948789.3393278,1652948789.4554675
1,'r',1652948789.4019804,1652948789.5024397
2,'e',1652948789.586618,1652948789.7023697
3,'n',1652948789.671072,1652948789.7715611
4,'c',1652948789.8183973,1652948789.9190145
5,'h',1652948789.8721154,1652948790.0194871
6,key.space,1652948790.003865,1652948790.0885577
7,'f',1652948790.135389,1652948790.242251
8,'o',1652948790.2579238,1652948790.358319
9,'x',1652948790.3894963,1652948790.50545
0,'b',1652948792.4503622,1652948792.566535
1,'e',1652948792.5978932,1652948792.6827912
2,'d',1652948792.7675807,1652948792.868013
3,key.space,1652948792.8301904,1652948792.9839633
4,'a',1652948792.9995875,1652948793.115623
5,'b',1652948793.3321104,1652948793.4167793
6,'j',1652948794.1342332,1652948794.2563694
7,'u',1652948794.3876154,1652948794.5036833
8,'r',1652948794.4879842,1652948794.5568817
9,'e',1652948794.6506665,1652948794.7510731
0,'p',1652948805.545818,1652948805.6999176
1,'o',1652948805.6776593,1652948805.8160932
2,'r',1652948806.1332839,1652948806.2336838
3,'k',1652948806.2023723,1652948806.3654134
4,key.space,1652948806.3027985,1652948806.4502237
