Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
gerald,o_h,15_8,15,8,3,0.087997913,0.632025719,0.720023632,0.688992262,0.776990175,0.056966543
gerald,h_m,8_13,8,13,3,0.056966543,0.152375937,0.20934248,0.20720458,0.264171124,0.054828644
gerald,m_~,13_0,13,0,3,0.054828644,0.130836248,0.185664892,0.197833776,0.25266242,0.066997528
gerald,~_f,0_6,0,6,3,0.066997528,0.014110804,0.081108332,0.13430357,0.201301098,0.120192766
gerald,f_i,6_9,6,9,3,0.120192766,0.024027824,0.144220591,0.079820395,0.200013161,0.05579257
gerald,i_l,9_12,9,12,3,0.05579257,0.151992083,0.207784653,0.218988657,0.274781227,0.066996574
gerald,l_m,12_13,12,13,3,0.066996574,0.15213275,0.219129324,0.218026161,0.285022736,0.065893412
gerald,m_e,13_5,13,5,3,0.065893412,0.035142899,0.10103631,0.113152742,0.179046154,0.078009844
gerald,e_d,5_4,5,4,3,0.078009844,0.119700909,0.197710752,0.185820103,0.263829947,0.066119194
gerald,h_e,8_5,8,5,4,0.078035831,0.023953438,0.101989269,0.121991634,0.200027466,0.098038197
gerald,e_a,5_1,5,1,4,0.098038197,0.162344456,0.260382652,0.240472555,0.338510752,0.078128099
gerald,a_t,1_20,1,20,4,0.078128099,0.344829798,0.422957897,0.411550045,0.489678144,0.066720247
gerald,t_~,20_0,20,0,4,0.066720247,0.1409266,0.207646847,0.207978249,0.274698496,0.067051649
gerald,~_a,0_1,0,1,4,0.067051649,0.034109354,0.101161003,0.122124434,0.189176083,0.088015079
gerald,a_t,1_20,1,20,4,0.088015079,0.055874825,0.143889904,0.112808466,0.200823545,0.056933641
gerald,t_o,20_15,20,15,4,0.056933641,0.184253216,0.241186857,0.250002623,0.306936264,0.065749407
gerald,o_m,15_13,15,13,4,0.065749407,0.377074003,0.44282341,0.464527607,0.530277014,0.087453604
gerald,m_s,13_19,13,19,4,0.087453604,0.066143274,0.153596878,0.14415431,0.231607914,0.078011036
gerald,c_h,3_8,3,8,5,0.099396467,0.163129568,0.262526035,0.239544868,0.338941336,0.0764153
gerald,h_a,8_1,8,1,5,0.0764153,0.013440847,0.089856148,0.112496376,0.188911676,0.099055529
gerald,a_n,1_14,1,14,5,0.099055529,0,0.099055529,0.087948561,0.187004089,0.087948561
gerald,n_t,14_20,14,20,5,0.087948561,0.08803606,0.175984621,0.144181728,0.232130289,0.056145668
gerald,t_~,20_0,20,0,5,0.056145668,0.269808769,0.325954437,0.32585597,0.382001638,0.056047201
gerald,~_a,0_1,0,1,5,0.056047201,0.067143679,0.12319088,0.175939322,0.231986523,0.108795643
gerald,a_x,1_24,1,24,5,0.108795643,0.109074116,0.217869759,0.197530985,0.306326628,0.088456869
gerald,x_i,24_9,24,9,5,0.088456869,0.013464212,0.101921082,0.069463015,0.157919884,0.055998802
gerald,i_s,9_19,9,19,5,0.055998802,0.076997995,0.132996798,0.144061804,0.200060606,0.067063808
gerald,o_l,15_12,15,12,6,0.067041159,0.087692976,0.154734135,0.166017056,0.233058214,0.07832408
gerald,l_d,12_4,12,4,6,0.07832408,0.001009464,0.079333544,0.087934494,0.166258574,0.08692503
gerald,d_i,4_9,4,9,6,0.08692503,0.023999453,0.110924482,0.101043463,0.187968493,0.07704401
gerald,i_e,9_5,9,5,6,0.07704401,0.02349329,0.1005373,0.101943493,0.178987503,0.078450203
gerald,e_s,5_19,5,19,6,0.078450203,0.088053226,0.166503429,0.196995497,0.2754457,0.10894227
gerald,s_~,19_0,19,0,6,0.10894227,0.012999535,0.121941805,0.069043875,0.177986145,0.05604434
gerald,~_b,0_2,0,2,6,0.05604434,0.440952539,0.49699688,0.528942108,0.584986448,0.087989569
gerald,b_a,2_1,2,1,6,0.087989569,0.012449503,0.100439072,0.101005793,0.188995361,0.08855629
gerald,a_y,1_25,1,25,6,0.08855629,0.03428483,0.12284112,0.091070414,0.179626703,0.056785583
gerald,g_y,7_25,7,25,3,0.066787243,0.10853672,0.175323963,0.154942989,0.221730232,0.046406269
gerald,y_m,25_13,25,13,3,0.046406269,0.151833534,0.198239803,0.219003201,0.26540947,0.067169666
gerald,m_~,13_0,13,0,3,0.067169666,0.141049862,0.208219528,0.196995258,0.264164925,0.055945396
gerald,~_z,0_26,0,26,3,0.055945396,0.226994753,0.282940149,0.335992336,0.391937733,0.108997583
gerald,z_y,26_25,26,25,3,0.108997583,0.183987617,0.292985201,0.230053902,0.339051485,0.046066284
gerald,y_g,25_7,25,7,3,0.046066284,0.258934736,0.30500102,0.379136562,0.425202847,0.120201826
gerald,g_o,7_15,7,15,3,0.120201826,0.023794889,0.143996716,0.090793371,0.210995197,0.066998482
gerald,o_t,15_20,15,20,3,0.066998482,0.045045614,0.112044096,0.165066719,0.232065201,0.120021105
gerald,t_e,20_5,20,5,3,0.120021105,0.140547514,0.260568619,0.218924522,0.338945627,0.078377008
gerald,a_m,1_13,1,13,4,0.131415129,0.055998325,0.187413454,0.123053312,0.254468441,0.067054987
gerald,m_i,13_9,13,9,4,0.067054987,0.109139681,0.176194668,0.175931454,0.242986441,0.066791773
gerald,i_d,9_4,9,4,4,0.066791773,0.000510931,0.067302704,0.076934338,0.14372611,0.076423407
gerald,d_~,4_0,4,0,4,0.076423407,0.045063734,0.121487141,0.111162663,0.187586069,0.066098928
gerald,~_e,0_5,0,5,4,0.066098928,0.035897732,0.10199666,0.102904558,0.169003487,0.067006826
gerald,e_x,5_24,5,24,4,0.067006826,0.098166943,0.165173769,0.196995258,0.264002085,0.098828316
gerald,x_i,24_9,24,9,4,0.098828316,0.001010418,0.099838734,0.056431055,0.155259371,0.055420637
gerald,i_l,9_12,9,12,4,0.055420637,0.098556995,0.153977633,0.165101528,0.220522165,0.066544533
gerald,l_e,12_5,12,5,4,0.066544533,0.024701834,0.091246367,0.0904603,0.157004833,0.065758467
gerald,k_i,11_9,11,9,5,0.065998554,0.099059582,0.165058136,0.144586325,0.210584879,0.045526743
gerald,i_n,9_14,9,14,5,0.045526743,0.09858942,0.144116163,0.154167175,0.199693918,0.055577755
gerald,n_d,14_4,14,4,5,0.055577755,0.014405727,0.069983482,0.080155373,0.135733128,0.065749645
gerald,d_a,4_1,4,1,5,0.065749645,0.110124826,0.175874472,0.222077131,0.287826777,0.111952305
gerald,a_~,1_0,1,0,5,0.111952305,-0.04500699,0.066945314,0.013044834,0.124997139,0.058051825
gerald,~_m,0_13,0,13,5,0.058051825,0.099013329,0.157065153,0.187034369,0.245086193,0.08802104
gerald,m_u,13_21,13,21,5,0.08802104,0.098913431,0.186934471,0.155069351,0.243090391,0.05615592
gerald,u_t,21_20,21,20,5,0.05615592,0.140839577,0.196995497,0.196841002,0.252996922,0.056001425
gerald,t_e,20_5,20,5,5,0.056001425,0.035034418,0.091035843,0.080037117,0.136038542,0.045002699
gerald,r_a,18_1,18,1,6,0.077005863,0.226837158,0.303843021,0.367991447,0.444997311,0.141154289
