,Actual,Prediction,Accuracy,38/80 (47.5%)
0,adhy,bryce,0.22364096343517303,nope
1,adhy,adhy,0.4336869418621063,match
2,adhy,adhy,0.34404632449150085,match
3,adhy,qk,0.31105130910873413,nope
4,adhy,jc,0.617373526096344,nope
5,adhy,bryce,0.2590760290622711,nope
6,adhy,bryce,0.22543549537658691,nope
7,adhy,andy,0.7307801842689514,nope
8,alan,alan,0.7967796921730042,match
9,alan,gerald,0.6292921900749207,nope
10,alan,gerald,0.6426239013671875,nope
11,alan,alan,0.7917523384094238,match
12,alan,alan,0.5610412359237671,match
13,alan,alan,0.566464364528656,match
14,alan,alan,0.7642840147018433,match
15,alan,alan,0.7977999448776245,match
16,andy,andy,0.9620183706283569,match
17,andy,andy,0.6455602645874023,match
18,andy,andy,0.9618654847145081,match
19,andy,andy,0.961967408657074,match
20,andy,andy,0.9617747664451599,match
21,andy,andy,0.900303065776825,match
22,andy,andy,0.9618444442749023,match
23,andy,andy,0.6196528077125549,match
24,bryce,cy,0.6559452414512634,nope
25,bryce,cy,0.39582276344299316,nope
26,bryce,cy,0.3318627178668976,nope
27,bryce,cy,0.4738141894340515,nope
28,bryce,adhy,0.4343106746673584,nope
29,bryce,jonah,0.2787250280380249,nope
30,bryce,adhy,0.4182030260562897,nope
31,bryce,cy,0.7703096270561218,nope
32,chris,chris,0.46405330300331116,match
33,chris,chris,0.46479472517967224,match
34,chris,chris,0.42273619771003723,match
35,chris,adhy,0.24275824427604675,nope
36,chris,jonah,0.25736433267593384,nope
37,chris,chris,0.4653147757053375,match
38,chris,adhy,0.27427491545677185,nope
39,chris,jonah,0.27460747957229614,nope
40,cy,cy,0.6571872234344482,match
41,cy,cy,0.5888212323188782,match
42,cy,cy,0.4340459406375885,match
43,cy,cy,0.3173575699329376,match
44,cy,cy,0.7727469205856323,match
45,cy,cy,0.532197117805481,match
46,cy,adhy,0.3175838589668274,nope
47,cy,cy,0.7718717455863953,match
48,gerald,gerald,0.6377708911895752,match
49,gerald,alan,0.5689111351966858,nope
50,gerald,alan,0.5473290085792542,nope
51,gerald,gerald,0.635559618473053,match
52,gerald,alan,0.7891228795051575,nope
53,gerald,gerald,0.6441224813461304,match
54,gerald,gerald,0.6460747718811035,match
55,gerald,alan,0.7898840308189392,nope
56,jc,jonah,0.27938342094421387,nope
57,jc,qk,0.30061104893684387,nope
58,jc,jonah,0.2783427834510803,nope
59,jc,jc,0.6528934240341187,match
60,jc,chris,0.45764100551605225,nope
61,jc,alan,0.4953511953353882,nope
62,jc,jc,0.8107302188873291,match
63,jc,jc,0.8217849135398865,match
64,jonah,jonah,0.2822079658508301,match
65,jonah,jonah,0.2813284993171692,match
66,jonah,cy,0.4233357012271881,nope
67,jonah,jonah,0.28203055262565613,match
68,jonah,jonah,0.2816722095012665,match
69,jonah,bryce,0.2612808048725128,nope
70,jonah,adhy,0.3372170925140381,nope
71,jonah,adhy,0.3412826359272003,nope
72,qk,jc,0.8085978627204895,nope
73,qk,chris,0.2528119385242462,nope
74,qk,chris,0.45248815417289734,nope
75,qk,chris,0.3388182818889618,nope
76,qk,jonah,0.2781781852245331,nope
77,qk,adhy,0.3782814145088196,nope
78,qk,jonah,0.27454814314842224,nope
79,qk,jonah,0.2544404864311218,nope
