,key,press_time,release_time
0,'m',1653568055.024561,1653568055.2004888
1,'o',1653568055.168574,1653568055.3126721
2,'t',1653568055.3286293,1653568055.4088693
3,'o',1653568055.4399195,1653568055.5366106
4,'r',1653568055.5525677,1653568055.6483772
0,'f',1653568058.0002177,1653568058.064077
1,'o',1653568058.0800033,1653568058.1607885
2,'a',1653568058.192702,1653568058.3203628
3,'l',1653568058.3044033,1653568058.4325807
4,'s',1653568058.4485466,1653568058.5283334
0,'d',1653568060.3202217,1653568060.41632
1,'o',1653568060.400165,1653568060.5444636
2,'r',1653568060.5598464,1653568060.6727145
3,'k',1653568060.7206764,1653568060.8645675
4,'y',1653568060.8806095,1653568061.0084975
0,'a',1653568062.624676,1653568062.7519457
1,'m',1653568062.7366307,1653568062.8960474
2,'b',1653568062.9600923,1653568063.0726247
3,'i',1653568063.0562294,1653568063.1529222
4,'t',1653568063.1845229,1653568063.2639902
0,'t',1653568065.2003396,1653568065.29656
1,'r',1653568065.232744,1653568065.3765063
2,'i',1653568065.3605921,1653568065.4403787
3,'m',1653568065.5525324,1653568065.648875
4,'s',1653568065.6325715,1653568065.7439277
0,'i',1653568067.4086576,1653568067.5043936
1,'c',1653568067.5525882,1653568067.6319976
2,'o',1653568067.6339645,1653568067.7126815
3,'n',1653568067.760566,1653568067.8244402
4,'s',1653568067.8088405,1653568067.9043872
0,'b',1653568069.6002238,1653568069.6804485
1,'o',1653568069.7281332,1653568069.8085592
2,'o',1653568069.889164,1653568069.9687035
3,'t',1653568069.971695,1653568070.048771
4,'y',1653568070.1289663,1653568070.2085032
0,'n',1653568071.888954,1653568072.0164237
1,'e',1653568072.0003603,1653568072.111904
2,'r',1653568072.0488663,1653568072.144326
3,'v',1653568072.272643,1653568072.3688715
4,'e',1653568072.288036,1653568072.4005563
0,'c',1653568074.0640721,1653568074.1600418
1,'r',1653568074.3687804,1653568074.4324932
2,'o',1653568074.448807,1653568074.5280778
3,'a',1653568074.56069,1653568074.6727848
4,'k',1653568074.7042787,1653568074.8004415
0,'h',1653568076.4968517,1653568076.5918038
1,'a',1653568076.5764394,1653568076.6718352
2,'v',1653568076.7044024,1653568076.8008728
3,'e',1653568076.7366602,1653568076.8487167
4,'s',1653568076.9442148,1653568077.0400653
0,'n',1653568078.7208436,1653568078.8320692
1,'a',1653568078.8005624,1653568078.9279246
2,'s',1653568078.8962183,1653568079.0566032
3,'a',1653568079.0240343,1653568079.1364207
4,'l',1653568079.1202404,1653568079.2158318
0,'s',1653568080.9615629,1653568081.088213
1,'h',1653568081.0560453,1653568081.1366937
2,'a',1653568081.1524372,1653568081.2804863
3,'r',1653568081.2484422,1653568081.3287919
4,'k',1653568081.2965453,1653568081.3767602
0,'l',1653568083.1844723,1653568083.2964742
1,'o',1653568083.3605614,1653568083.4405992
2,'t',1653568083.456619,1653568083.5360587
3,'u',1653568083.552354,1653568083.6641495
4,'s',1653568083.6480262,1653568083.7445261
0,'f',1653568087.664375,1653568087.7762837
1,'o',1653568087.7925851,1653568087.8881397
2,'r',1653568087.9202857,1653568088.0008366
3,'t',1653568088.1126497,1653568088.2564714
4,'e',1653568088.224449,1653568088.3204358
0,'p',1653568090.0169463,1653568090.1446056
1,'l',1653568090.1924753,1653568090.304165
2,'a',1653568090.352586,1653568090.4319472
3,'n',1653568090.4159539,1653568090.4805715
4,'k',1653568090.8005543,1653568090.880348
0,'n',1653568092.5926716,1653568092.7204382
1,'e',1653568092.6884127,1653568092.8002548
2,'v',1653568092.8481271,1653568092.944512
3,'e',1653568092.9764895,1653568093.1045558
4,'r',1653568093.0727227,1653568093.168647
0,'i',1653568094.8162441,1653568094.9118834
1,'m',1653568095.0399687,1653568095.1201732
2,'b',1653568095.2166128,1653568095.2967963
3,'e',1653568095.3925965,1653568095.5045178
4,'d',1653568095.552817,1653568095.6807606
0,'d',1653568097.3604198,1653568097.440464
1,'i',1653568097.471992,1653568097.535886
2,'c',1653568097.5688844,1653568097.696775
3,'e',1653568097.6327362,1653568097.7120664
4,'d',1653568097.7920692,1653568097.9045198
0,'c',1653568099.6806479,1653568099.8079548
1,'e',1653568099.7605665,1653568099.8720682
2,'l',1653568099.9045722,1653568099.9524295
3,'l',1653568100.0164156,1653568100.112256
4,'s',1653568100.0962994,1653568100.1926117
0,'f',1653568104.224088,1653568104.3366477
1,'e',1653568104.400469,1653568104.49654
2,'u',1653568104.5766594,1653568104.6727183
3,'d',1653568104.704565,1653568104.8161001
4,'s',1653568104.7844286,1653568104.9288542
0,'n',1653568106.5927408,1653568106.6721623
1,'o',1653568106.6406314,1653568106.752703
2,'w',1653568106.736198,1653568106.880924
3,'a',1653568106.8327305,1653568106.9284368
4,'y',1653568106.9761803,1653568107.0891294
0,'k',1653568109.6164632,1653568109.7291672
1,'i',1653568109.7926664,1653568109.8722398
2,'l',1653568109.968715,1653568110.0641308
3,'n',1653568110.1119196,1653568110.192146
4,'s',1653568110.2399886,1653568110.3366518
0,'s',1653568111.88792,1653568111.984837
1,'t',1653568112.0958092,1653568112.1764708
2,'e',1653568112.2240598,1653568112.3365505
3,'i',1653568112.320719,1653568112.3689482
4,'n',1653568112.4487581,1653568112.5281792
0,'e',1653568114.2090182,1653568114.32049
1,'p',1653568114.4486613,1653568114.5125568
2,'e',1653568114.8639314,1653568114.960256
3,'e',1653568115.0246768,1653568115.1045983
