Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-NG|M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-NG|VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
andy,scops,0.168264866,-0.080677748,0.087587118,0.096084833,0.264349699,0.176762581,-0.07292366,0.103838921,0.023497105,0.200259686,0.096420765,-0.064265966,0.032154799,0.104334116,0.200754881,0.168600082,-0.088708162,0.07989192,0.039314032,0.207914114,0.128022194,0.738070488,-0.306575537,0.303472757,0.263230085,0.873278379,0.147614098,-0.076643884,0.075868189,0.065807521,0.218319595,0.001180275,0.000109624,0.000948915,0.00163103,0.000953908,0.03435513,0.010470144,0.03080447,0.040386014,0.030885401,0.023161173,0.191426039,0.119581938,0.287846804,-0.040768862,0.135993719,0.127831221,0.304593801,0.015625954,0.112046719,0.143648148,0.240068913,-0.001981735,0.439466476,0.391061306,0.832509518,-0.000660578,0.146488825,0.130353769,0.277503173,0.001220701,0.00165788,0.000149568,0.001121108,0.034938527,0.040717067,0.012229802,0.033482956,0.055315971,0.223580837,0.223916054,0.39218092,0.039123058,0.215885639,0.167145252,0.343907833,0.09443903,0.439466476,0.391061306,0.736088753,0.047219515,0.219733238,0.195530653,0.368044376,0.000131105,2.96E-05,0.001611462,0.001165145,0.011450119,0.005441327,0.040143019,0.034134227,0.135207891,0.303472757,0.263230085,0.431494951
andy,dhows,0.183537006,0.04739666,0.230933666,0.208641052,0.392178059,0.161244392,-0.056252241,0.104992151,0.119040728,0.28028512,0.175292969,-0.096189022,0.079103947,-0.02401185,0.151281118,0.072177172,0.112445593,0.184622765,0.232485771,0.304662943,0.120040178,0.712291718,0.00740099,0.599652529,0.536155701,1.12840724,0.142458344,0.001850247,0.149913132,0.134038925,0.28210181,0.002140126,0.009097801,0.00493364,0.013487417,0.00991438,0.046261491,0.095382395,0.070239877,0.116135341,0.099570978,0.152388811,0.335925817,0.32768178,0.511218786,0.022851706,0.184096098,0.095028877,0.25627327,0.088433743,0.263726711,0.208473921,0.38376689,0.263674259,0.783748627,0.631184578,1.151258945,0.08789142,0.261249542,0.210394859,0.383752982,0.004195186,0.005767668,0.013534611,0.016249304,0.064770256,0.075945166,0.116338346,0.127472759,0.231492758,0.415029764,0.30366993,0.487206936,0.20747447,0.368718863,0.327514648,0.488759041,0.438967228,0.783748627,0.631184578,0.975965977,0.219483614,0.391874313,0.315592289,0.487982988,0.000288439,0.00107235,0.000284285,1.20E-06,0.016983494,0.032746753,0.016860762,0.001097504,0.416115522,0.599652529,0.536155701,0.719692707
andy,tongs,0.159471273,-0.064323902,0.095147371,0.040171862,0.199643135,0.104495764,-0.05617547,0.048320293,0.095861197,0.20035696,0.152036667,-0.023995399,0.128041267,0.056020021,0.208056688,0.080015421,-0.032012701,0.04800272,0.097926378,0.177941799,0.129939079,0.625958204,-0.176507473,0.319511652,0.289979458,0.785998583,0.125191641,-0.044126868,0.079877913,0.072494864,0.196499646,0.001096874,0.000368373,0.001521592,0.000836315,0.000167573,0.033119092,0.019193038,0.039007591,0.028919107,0.012945003,-0.016003609,0.143467665,0.136033058,0.295504332,0.071865797,0.176361561,0.151881218,0.256376982,0.02400732,0.176043987,0.1539464,0.305983067,0.079869509,0.495873213,0.441860676,0.85786438,0.02662317,0.165291071,0.147286892,0.285954793,0.00193539,0.000357221,9.61E-05,0.000683586,0.043993069,0.018900291,0.009800654,0.026145481,0.112037659,0.271508932,0.19205308,0.351524353,0.119868517,0.224364281,0.249807596,0.35430336,0.231906176,0.495873213,0.441860676,0.705827713,0.115953088,0.247936606,0.220930338,0.352913857,3.07E-05,0.001111309,0.001667792,3.86E-06,0.005537253,0.033336303,0.04083861,0.001965055,0.160040379,0.319511652,0.289979458,0.449450731
andy,badge,0.103691816,-0.0640769,0.039614916,0.080065727,0.183757544,0.144142628,-0.055840969,0.088301659,0.063633204,0.207775831,0.119474173,0.087648869,0.207123041,0.248642445,0.368116617,0.160993576,-0.064954042,0.096039534,0.07104373,0.232037306,0.135997772,0.664299965,-0.097223043,0.431079149,0.463385105,0.991687298,0.132859993,-0.024305761,0.107769787,0.115846276,0.247921824,0.000489651,0.005587445,0.005010921,0.007882848,0.006809287,0.022128063,0.074749213,0.070787858,0.088785403,0.082518406,0.024224758,0.127916574,0.143698931,0.247390747,0.151282072,0.2954247,0.312275648,0.456418276,0.183688402,0.303162575,0.319686174,0.439160347,0.359195232,0.726503849,0.775660753,1.14296937,0.119731744,0.24216795,0.258553584,0.38098979,0.007103731,0.009805001,0.009907423,0.013460987,0.084283633,0.099020206,0.099536037,0.116021495,0.231347799,0.335039616,0.392341375,0.496033192,0.247321606,0.391464233,0.383319378,0.527462006,0.478669405,0.726503849,0.775660753,1.023495197,0.239334702,0.363251925,0.387830377,0.511747599,0.000127581,0.001591869,4.07E-05,0.000493885,0.011295187,0.03989823,0.006379516,0.022223527,0.327387333,0.431079149,0.463385105,0.567076921
andy,lowed,0.150991201,-0.06399703,0.086994171,0.135999441,0.286990643,0.199996471,-0.118994236,0.081002235,-0.031993151,0.168003321,0.087001085,0.087997437,0.174998522,0.255998611,0.342999697,0.168001175,-0.086000204,0.082000971,0.072006702,0.240007877,0.158006907,0.76399684,-0.180994034,0.424995899,0.432011604,1.038001537,0.152799368,-0.045248508,0.106248975,0.108002901,0.259500384,0.001704616,0.008401707,0.002107537,0.014527052,0.005493173,0.041286994,0.091660828,0.04590792,0.120528223,0.074115945,0.017005205,0.167996407,0.10400629,0.254997492,0.056004286,0.256000757,0.224005461,0.424001932,0.169998407,0.256999493,0.328005314,0.415006399,0.243007898,0.680996656,0.656017065,1.094005823,0.081002633,0.226998885,0.218672355,0.364668608,0.006320418,0.002611219,0.012565222,0.009041045,0.079501057,0.051100086,0.112094702,0.095084411,0.192003727,0.342994928,0.360004902,0.510996103,0.138005257,0.338001728,0.296012163,0.496008635,0.330008984,0.680996656,0.656017065,1.007004738,0.165004492,0.340498328,0.328008533,0.503502369,0.001457917,1.25E-05,0.002047535,0.000112312,0.038182685,0.003530726,0.045249699,0.010597741,0.274004698,0.424995899,0.432011604,0.583002806
andy,humpy,0.111238718,-0.055958509,0.055280209,0.065275431,0.176514149,0.12123394,0.079292059,0.200525999,0.167851448,0.289085388,0.088559389,-0.040425539,0.04813385,0.095687628,0.184247017,0.136113167,-0.064257622,0.071855545,0.063678503,0.19979167,0.127936125,0.585081339,-0.081349611,0.375795603,0.39249301,0.849638224,0.117016268,-0.020337403,0.093948901,0.098123252,0.212409556,0.000336224,0.004509137,0.005147027,0.002377791,0.002706668,0.018336423,0.06715011,0.071742783,0.048762601,0.052025645,0.14456749,0.255806208,0.233126879,0.344365597,0.127425909,0.248659849,0.263539076,0.384773016,0.031430006,0.119989395,0.159366131,0.24792552,0.303423405,0.624455452,0.656032085,0.977064133,0.101141135,0.208151817,0.218677362,0.325688044,0.00371819,0.005842227,0.002869592,0.004943448,0.060976959,0.076434463,0.053568573,0.070309655,0.19270134,0.303940058,0.328814507,0.440053225,0.199281454,0.320515394,0.327217579,0.448451519,0.391982794,0.624455452,0.656032085,0.888504744,0.195991397,0.312227726,0.328016043,0.444252372,2.16E-05,0.000137371,1.28E-06,3.53E-05,0.004652843,0.011720533,0.001129198,0.005938491,0.264556885,0.375795603,0.39249301,0.503731728
andy,tromp,0.135795116,0.071767807,0.207562923,0.223775625,0.359570742,0.152007818,-0.111997843,0.040009975,-0.015013456,0.136994362,0.096984386,-0.025005817,0.071978569,0.070925713,0.167910099,0.09593153,0.039622545,0.135554075,0.159622908,0.255554438,0.120000362,0.600719213,-0.025613308,0.455105543,0.439310789,0.92002964,0.120143843,-0.006403327,0.113776386,0.109827697,0.23000741,0.000595723,0.006575121,0.005486241,0.010854124,0.00998227,0.024407439,0.081087117,0.074069164,0.104183126,0.099911312,0.111777782,0.247572899,0.208762169,0.344557285,-0.040019274,0.111988544,0.055912256,0.207920074,0.110548258,0.207532644,0.23054862,0.327533007,0.182306767,0.567094088,0.495223045,0.880010366,0.060768922,0.189031363,0.165074348,0.293336789,0.007619073,0.004852502,0.009055934,0.005544468,0.087287303,0.069659905,0.095162672,0.074461183,0.183756351,0.319551468,0.279687881,0.415482998,0.095534801,0.24754262,0.215535164,0.367542982,0.279291153,0.567094088,0.495223045,0.78302598,0.139645576,0.283547044,0.247611523,0.39151299,0.003891521,0.002592637,0.002057786,0.001149123,0.062382056,0.050917945,0.045362822,0.03389871,0.319310427,0.455105543,0.439310789,0.575105906
andy,sheen,0.168370962,-0.017024279,0.151346684,0.111226559,0.279597521,0.128250837,0.128086329,0.256337166,0.248090029,0.376340866,0.1200037,0.048491001,0.168494701,0.168840408,0.288844109,0.120349407,0.063234568,0.183583975,0.111762524,0.232111931,0.048527956,0.585502863,0.222787619,0.759762526,0.639919519,1.176894426,0.117100573,0.055696905,0.189940631,0.15997988,0.294223607,0.001868542,0.00354578,0.002132776,0.004181236,0.003614655,0.043226636,0.059546454,0.046181986,0.064662475,0.060122004,0.239312887,0.407683849,0.359316587,0.52768755,0.29658103,0.424831867,0.416930437,0.545181274,0.232074976,0.352078676,0.280602932,0.400606632,0.767968893,1.184594393,1.056849957,1.473475456,0.255989631,0.394864798,0.352283319,0.491158485,0.001248843,0.001446503,0.004683397,0.006226236,0.035338974,0.038032917,0.068435351,0.078906503,0.407807589,0.576178551,0.528156996,0.696527958,0.480165005,0.608415842,0.528692961,0.656943798,0.887972593,1.184594393,1.056849957,1.353471756,0.443986297,0.592297196,0.528424978,0.676735878,0.002617798,0.000519621,1.44E-07,0.000783453,0.05116442,0.022795207,0.000378984,0.027990228,0.591391563,0.759762526,0.639919519,0.808290482
andy,dryly,0.127933741,0.111838579,0.23977232,0.207196712,0.335130453,0.095358133,0.096586704,0.191944838,0.240650654,0.336008787,0.14406395,0.0153265,0.15939045,0.103706837,0.247770786,0.088380337,-0.024200916,0.06417942,0.088237762,0.176618099,0.112438679,0.568174839,0.199550867,0.655287027,0.639791965,1.095528126,0.113634968,0.049887717,0.163821757,0.159947991,0.273882031,0.000525912,0.004234103,0.005502542,0.005683595,0.005917724,0.022932771,0.065069983,0.074179124,0.075389623,0.076926746,0.303783417,0.431717157,0.447847366,0.575781107,0.255977154,0.351335287,0.344357491,0.439715624,0.07950592,0.22356987,0.191944599,0.336008549,0.639266491,1.006622314,0.984149456,1.35150528,0.21308883,0.335540771,0.328049819,0.45050176,0.013954655,0.011018423,0.016571012,0.014459975,0.118129823,0.104968678,0.128728442,0.120249638,0.463173866,0.591107607,0.551554203,0.679487944,0.320156574,0.415514708,0.432595253,0.527953386,0.783330441,1.006622314,0.984149456,1.20744133,0.39166522,0.503311157,0.492074728,0.603720665,0.010226973,0.015416433,0.007075616,0.011481361,0.101128497,0.12416293,0.08411668,0.107151113,0.527353287,0.655287027,0.639791965,0.767725706
andy,wager,0.15225935,-0.032004118,0.120255232,0.127030849,0.279290199,0.159034967,-0.048037529,0.110997438,0.097371578,0.256406546,0.145409107,-0.073370218,0.072038889,0.150780439,0.296189547,0.224150658,-0.02299881,0.201151848,0.144253731,0.368404388,0.167252541,0.848106623,-0.176410675,0.504443407,0.519436598,1.20029068,0.169621325,-0.044102669,0.126110852,0.129859149,0.30007267,0.0009947,0.00048794,0.002939211,0.000569449,0.002340981,0.031538865,0.022089367,0.054214487,0.023863123,0.048383688,0.07899332,0.23125267,0.224402428,0.376661777,0.02400136,0.183036327,0.248152018,0.407186985,0.12778163,0.273190737,0.29503417,0.440443277,0.23077631,0.687479734,0.767588615,1.22429204,0.076925437,0.229159911,0.255862872,0.408097347,0.002695793,0.002035239,0.001291804,0.001017641,0.051921028,0.045113624,0.035941671,0.031900494,0.151032209,0.303291559,0.375182867,0.527442217,0.225153208,0.384188175,0.392405748,0.551440716,0.376185417,0.687479734,0.767588615,1.078882933,0.188092709,0.343739867,0.383794308,0.539441466,0.002746961,0.003272131,0.000148314,0.000287964,0.052411461,0.057202546,0.012178416,0.016969501,0.352184057,0.504443407,0.519436598,0.671695948
