,Actual,Prediction,Accuracy,268/720 (37.22222222222222%)
0,adhy,bryce,0.9999959468841553,nope
1,adhy,bryce,0.9999957084655762,nope
2,adhy,adhy,0.9999982118606567,match
3,adhy,chris,0.9999961853027344,nope
4,adhy,bryce,0.9800971150398254,nope
5,adhy,adhy,0.9999942779541016,match
6,adhy,hr,0.7988873720169067,nope
7,adhy,jc,0.9589663743972778,nope
8,adhy,hr,0.7556537985801697,nope
9,adhy,bryce,0.9999914169311523,nope
10,adhy,bryce,0.9999920129776001,nope
11,adhy,adhy,0.9999977350234985,match
12,adhy,chris,0.9999852180480957,nope
13,adhy,bryce,0.9988231062889099,nope
14,adhy,adhy,0.661056399345398,match
15,adhy,bryce,0.9999048709869385,nope
16,adhy,chris,0.9999943971633911,nope
17,adhy,cy,0.9844892024993896,nope
18,adhy,bryce,0.9999938011169434,nope
19,adhy,bryce,0.9999953508377075,nope
20,adhy,adhy,0.9999982118606567,match
21,adhy,chris,0.9796106815338135,nope
22,adhy,adhy,0.9936068058013916,match
23,adhy,adhy,0.9999959468841553,match
24,adhy,hr,0.9957571625709534,nope
25,adhy,adhy,0.6448327302932739,match
26,adhy,hr,0.7563844323158264,nope
27,adhy,adhy,0.9999980926513672,match
28,adhy,adhy,0.999997615814209,match
29,adhy,adhy,0.9999978542327881,match
30,adhy,adhy,0.9999977350234985,match
31,adhy,adhy,0.9999979734420776,match
32,adhy,adhy,0.9999978542327881,match
33,adhy,adhy,0.9999978542327881,match
34,adhy,adhy,0.999997615814209,match
35,adhy,adhy,0.9999978542327881,match
36,adhy,chris,0.9999961853027344,nope
37,adhy,bryce,0.9996172189712524,nope
38,adhy,bryce,0.9580448269844055,nope
39,adhy,adhy,0.9999979734420776,match
40,adhy,chris,0.9999513626098633,nope
41,adhy,adhy,0.7006915807723999,match
42,adhy,chris,0.9998236298561096,nope
43,adhy,adhy,0.6680448651313782,match
44,adhy,chris,0.5243530869483948,nope
45,adhy,bryce,0.9997976422309875,nope
46,adhy,bryce,0.9996824264526367,nope
47,adhy,bryce,0.4873462915420532,nope
48,adhy,adhy,0.9999982118606567,match
49,adhy,chris,0.9999803304672241,nope
50,adhy,chris,0.951786458492279,nope
51,adhy,chris,0.9948272109031677,nope
52,adhy,adhy,0.982050895690918,match
53,adhy,hr,0.9486857056617737,nope
54,adhy,adhy,0.994921863079071,match
55,adhy,andy,0.9975347518920898,nope
56,adhy,adhy,0.9908360242843628,match
57,adhy,adhy,0.9999982118606567,match
58,adhy,adhy,0.9416143894195557,match
59,adhy,adhy,0.8760082125663757,match
60,adhy,adhy,0.9910942912101746,match
61,adhy,adhy,0.8299943804740906,match
62,adhy,hr,0.9392817616462708,nope
63,adhy,hr,0.9999768733978271,nope
64,adhy,chris,0.995609700679779,nope
65,adhy,hr,0.9999970197677612,nope
66,adhy,adhy,0.9999978542327881,match
67,adhy,chris,0.7984092235565186,nope
68,adhy,chris,0.9972001314163208,nope
69,adhy,chris,0.9838377833366394,nope
70,adhy,hr,0.93992018699646,nope
71,adhy,hr,0.8938798308372498,nope
72,adhy,adhy,0.9637274146080017,match
