Subject,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-NG|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-NG|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-NG|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-NG|3+4,T2-D|4,T2-D|S,T2-I|S,T2-PF|S,T2-RF|S,T2-NG|S,T2-D|M,T2-I|M,T2-PF|M,T2-RF|M,T2-NG|M,T2-D|VAR,T2-I|VAR,T2-PF|VAR,T2-RF|VAR,T2-NG|VAR,T2-D|SD,T2-I|SD,T2-PF|SD,T2-RF|SD,T2-NG|SD,T3-I|0+2,T3-PF|0+2,T3-RF|0+2,T3-NG|0+2,T3-I|1+3,T3-PF|1+3,T3-RF|1+3,T3-NG|1+3,T3-I|2+4,T3-PF|2+4,T3-RF|2+4,T3-NG|2+4,T3-I|S,T3-PF|S,T3-RF|S,T3-NG|S,T3-I|M,T3-PF|M,T3-RF|M,T3-NG|M,T3-I|VAR,T3-PF|VAR,T3-RF|VAR,T3-NG|VAR,T3-I|SD,T3-PF|SD,T3-RF|SD,T3-NG|SD,T4-I|0+3,T4-PF|0+3,T4-RF|0+3,T4-NG|0+3,T4-I|1+4,T4-PF|1+4,T4-RF|1+4,T4-NG|1+4,T4-I|S,T4-PF|S,T4-RF|S,T4-NG|S,T4-I|M,T4-PF|M,T4-RF|M,T4-NG|M,T4-I|VAR,T4-PF|VAR,T4-RF|VAR,T4-NG|VAR,T4-I|SD,T4-PF|SD,T4-RF|SD,T4-NG|SD,T5-I|0+4,T5-PF|0+4,T5-RF|0+4,T5-NG|0+4
chris,wench,0.141978264,-0.065982342,0.075995922,0.056885719,0.198863983,0.122868061,-0.032369375,0.090498686,0.083981276,0.206849337,0.116350651,0.055122375,0.171473026,0.15507555,0.271426201,0.099953175,-0.010455847,0.089497328,0.084645748,0.184598923,0.095101595,0.576251745,-0.053685188,0.427464962,0.380588293,0.861738443,0.115250349,-0.013421297,0.106866241,0.095147073,0.215434611,0.000353399,0.002609574,0.001898863,0.001763435,0.001478063,0.018798919,0.05108399,0.043575946,0.041993279,0.038445591,0.024516344,0.166494608,0.140866995,0.282845259,0.139103651,0.261971712,0.239056826,0.361924887,0.144619703,0.260970354,0.239721298,0.356071949,0.308239698,0.689436674,0.619645119,1.000842094,0.102746566,0.229812225,0.206548373,0.333614031,0.004597582,0.003007091,0.003235643,0.001941665,0.067805475,0.05483695,0.056882712,0.044064333,0.19598937,0.337967634,0.295942545,0.437920809,0.228600979,0.35146904,0.323702574,0.446570635,0.424590349,0.689436674,0.619645119,0.884491444,0.212295175,0.344718337,0.309822559,0.442245722,0.000531759,9.11E-05,0.00038531,3.74E-05,0.02305989,0.009546936,0.019629305,0.006116351,0.285486698,0.427464962,0.380588293,0.522566557
chris,early,0.228225708,-0.130748987,0.097476721,0.02173543,0.249961138,0.152484417,-0.081698179,0.070786238,0.038007736,0.190492153,0.119705915,-0.047693491,0.072012424,0.043196917,0.162902832,0.090890408,0.097857237,0.188747644,0.214735031,0.305625439,0.116877794,0.708184242,-0.162283421,0.429023027,0.317675114,0.908981562,0.141636848,-0.040570855,0.107255757,0.079418778,0.22724539,0.00282112,0.009678874,0.003102892,0.008221585,0.004050067,0.053114212,0.098381267,0.055703607,0.090672956,0.06364014,-0.059962749,0.168262959,0.059743166,0.287968874,-0.009685755,0.142798662,0.081204653,0.23368907,0.141054153,0.260760069,0.257931948,0.377637863,0.071405649,0.57182169,0.398879766,0.899295807,0.023801883,0.19060723,0.132959922,0.299765269,0.010943015,0.003853173,0.011828654,0.00528468,0.104608868,0.062073933,0.108759617,0.072695804,0.012049675,0.240275383,0.102940083,0.331165791,0.17906189,0.331546307,0.295939684,0.448424101,0.191111565,0.57182169,0.398879766,0.779589891,0.095555782,0.285910845,0.199439883,0.389794946,0.01394654,0.004165191,0.018624423,0.006874756,0.11809547,0.064538289,0.136471327,0.082914146,0.200797319,0.429023027,0.317675114,0.545900822
chris,relax,0.157987356,-0.039967299,0.118020058,0.094768286,0.252755642,0.134735584,-0.046897888,0.087837696,0.052044868,0.186780453,0.098942757,0.000997782,0.099940538,0.097670078,0.196612835,0.096672297,0.115004063,0.211676359,0.212641478,0.309313774,0.097637415,0.585975409,0.029136658,0.517474651,0.45712471,0.945462704,0.117195082,0.007284164,0.129368663,0.114281178,0.236365676,0.000777128,0.00560383,0.003164728,0.004734929,0.00320968,0.027877021,0.074858735,0.056255914,0.068810824,0.056654034,0.047870398,0.205857754,0.146813154,0.30480051,0.05304265,0.187778234,0.149714947,0.284450531,0.212674141,0.311616898,0.310311556,0.409254313,0.313587189,0.705252886,0.606839657,0.998505354,0.104529063,0.235084295,0.202279886,0.332835118,0.008778206,0.004474647,0.008755236,0.00448345,0.093692083,0.0668928,0.09356942,0.066958572,0.147810936,0.305798292,0.244483232,0.402470589,0.264719009,0.399454594,0.362356424,0.497092009,0.412529945,0.705252886,0.606839657,0.899562597,0.206264973,0.352626443,0.303419828,0.449781299,0.006833749,0.004385751,0.006947045,0.004476607,0.082666491,0.066225006,0.083348933,0.066907448,0.359487295,0.517474651,0.45712471,0.615112066
chris,quick,0.140930653,-0.033010483,0.10792017,0.10896945,0.249900103,0.141979933,0.113917589,0.255897522,0.20501852,0.346998453,0.091100931,0.028944969,0.1200459,0.152230978,0.243331909,0.123286009,-0.030140877,0.093145132,0.042977333,0.166263342,0.07311821,0.570415735,0.079711199,0.577008724,0.509196281,1.006493807,0.114083147,0.0199278,0.144252181,0.12729907,0.251623452,0.000947505,0.004741575,0.005660857,0.004702681,0.00548482,0.03078157,0.068859093,0.075238668,0.068576097,0.074059568,0.222887039,0.363817692,0.31398797,0.454918623,0.23396349,0.375943422,0.357249498,0.499229431,0.122090101,0.213191032,0.195208311,0.286309242,0.57894063,0.952952147,0.86644578,1.240457296,0.19298021,0.317650716,0.28881526,0.413485765,0.003799728,0.008220627,0.007039586,0.012621263,0.06164193,0.090667675,0.083902238,0.112344394,0.34293294,0.483863592,0.466218948,0.607149601,0.327108622,0.469088554,0.400226831,0.542206764,0.670041561,0.952952147,0.86644578,1.149356365,0.335020781,0.476476073,0.43322289,0.574678183,0.000125205,0.000109151,0.00217748,0.002108786,0.011189483,0.010447529,0.046663473,0.04592152,0.436078072,0.577008724,0.509196281,0.650126934
chris,xerus,0.0951581,0.169290543,0.264448643,0.297405005,0.392563105,0.128114462,-0.042038679,0.086075783,0.080366373,0.208480835,0.122405052,0.01064539,0.133050442,0.103829384,0.226234436,0.093183994,0.027835369,0.121019363,0.106744766,0.199928761,0.078909397,0.517771006,0.165732622,0.604594231,0.588345528,1.027207136,0.103554201,0.041433156,0.151148558,0.147086382,0.256801784,0.000435991,0.008149282,0.006102228,0.010181954,0.008311651,0.020880392,0.090273372,0.078116762,0.100905668,0.091168258,0.255366325,0.350524426,0.377771378,0.472929478,0.091011763,0.219126225,0.184195757,0.312310219,0.131664753,0.254069805,0.21057415,0.332979202,0.478042841,0.823720455,0.772541285,1.118218899,0.159347614,0.274573485,0.257513762,0.372739633,0.007327861,0.004631672,0.011020376,0.007635305,0.085602927,0.068056392,0.104977977,0.087380235,0.388416767,0.483574867,0.481600761,0.576758862,0.212031126,0.340145588,0.290940523,0.419054985,0.600447893,0.823720455,0.772541285,0.995813847,0.300223947,0.411860228,0.386270642,0.497906923,0.015555947,0.010285979,0.018175663,0.012435256,0.124723483,0.101419816,0.134817147,0.11151348,0.509436131,0.604594231,0.588345528,0.683503628
chris,rinse,0.106896877,-0.0537076,0.053189278,0.090908051,0.197804928,0.14461565,-0.063233852,0.081381798,0.04295969,0.18757534,0.106193542,-0.038068771,0.068124771,0.089483261,0.195676804,0.127552032,-0.061494112,0.06605792,0.047543526,0.175095558,0.109037638,0.59429574,-0.216504335,0.268753767,0.270894527,0.75615263,0.118859148,-0.054126084,0.067188442,0.067723632,0.189038157,0.000284735,0.000131751,0.000133194,0.000677163,0.000105821,0.016874087,0.011478265,0.011540981,0.026022351,0.010286946,0.027674198,0.134571075,0.133867741,0.240764618,0.004890919,0.149506569,0.132442951,0.277058601,0.027989149,0.134182692,0.137026787,0.243220329,0.060554266,0.418260336,0.403337479,0.761043549,0.020184755,0.139420112,0.134445826,0.253681183,0.000175451,7.63E-05,5.50E-06,0.000411385,0.013245787,0.008737286,0.002345959,0.020282638,0.095798969,0.202695847,0.223351002,0.330247879,0.070948839,0.215564489,0.179986477,0.324602127,0.166747808,0.418260336,0.403337479,0.654850006,0.083373904,0.209130168,0.201668739,0.327425003,0.000308764,8.28E-05,0.000940241,1.59E-05,0.017571695,0.009099505,0.03066335,0.003992149,0.16185689,0.268753767,0.270894527,0.377791405
chris,herbs,0.128952026,-0.062754393,0.066197634,0.082261324,0.21121335,0.145015717,-0.055098772,0.089916945,0.043232679,0.188248396,0.098331451,0.109968185,0.208299637,0.204083443,0.302414894,0.094115257,-0.013040543,0.081074715,0.101764917,0.195880175,0.11480546,0.581219912,-0.020925522,0.44548893,0.431342363,0.897756815,0.116243982,-0.00523138,0.111372232,0.107835591,0.224439204,0.000450479,0.006375859,0.004271312,0.00470936,0.002793508,0.021224489,0.079848976,0.065355273,0.06862478,0.052853648,0.027162552,0.156114578,0.125494003,0.25444603,0.153200865,0.298216581,0.247316122,0.392331839,0.1910429,0.289374352,0.30584836,0.404179811,0.371406317,0.743705511,0.678658485,1.05095768,0.123802106,0.247901837,0.226219495,0.350319227,0.007362407,0.006338222,0.008465724,0.006928846,0.085804472,0.079612951,0.09200937,0.08323969,0.235462189,0.364414215,0.329577446,0.458529472,0.234275579,0.379291296,0.349081039,0.494096756,0.469737768,0.743705511,0.678658485,0.952626228,0.234868884,0.371852756,0.339329243,0.476313114,7.04E-07,0.000110664,0.000190195,0.000632516,0.000839059,0.010519685,0.013791123,0.025149867,0.316536903,0.44548893,0.431342363,0.56029439
chris,foamy,0.123071194,-0.048321962,0.074749231,0.03899312,0.162064314,0.087315083,0.000999689,0.088314772,0.147489786,0.234804869,0.146490097,-0.049510717,0.09697938,0.065808773,0.21229887,0.11531949,-0.001965046,0.113354445,0.107669353,0.222988844,0.109634399,0.581830263,-0.098798037,0.373397827,0.359961033,0.832156897,0.116366053,-0.024699509,0.093349457,0.089990258,0.208039224,0.000460697,0.00078364,0.000261564,0.002268066,0.001023909,0.021463843,0.027993576,0.016172944,0.047624218,0.031998582,0.039992809,0.163064003,0.186482906,0.3095541,0.097979069,0.185294151,0.213298559,0.300613642,0.063843727,0.210333824,0.173478127,0.319968224,0.201815605,0.558691978,0.573259592,0.930135965,0.067271868,0.186230659,0.191086531,0.310045322,0.000849416,0.000559267,0.000412312,9.38E-05,0.029144737,0.023648822,0.020305461,0.009686637,0.136972189,0.260043383,0.252291679,0.375362873,0.211333513,0.298648596,0.320967913,0.408282995,0.348305702,0.558691978,0.573259592,0.783645868,0.174152851,0.279345989,0.286629796,0.391822934,0.002764803,0.000745181,0.002358213,0.000541867,0.052581397,0.027298008,0.04856143,0.023278042,0.250326633,0.373397827,0.359961033,0.483032227
chris,yawns,0.129166842,0.061960459,0.1911273,0.245727539,0.374894381,0.18376708,-0.065001011,0.118766069,0.048371553,0.232138634,0.113372564,-0.022562981,0.090809584,0.077014208,0.190386772,0.099577188,0.046630144,0.146207333,0.121559143,0.221136332,0.074928999,0.600812674,0.021026611,0.546910286,0.492672443,1.018556118,0.120162535,0.005256653,0.136727571,0.123168111,0.25463903,0.001660637,0.00354572,0.001826758,0.007582703,0.006739467,0.040750916,0.059545945,0.042740588,0.087078719,0.082094256,0.180726528,0.30989337,0.294099092,0.423265934,0.025808573,0.209575653,0.125385761,0.309152842,0.123644352,0.237016916,0.198573351,0.311945915,0.330179453,0.756485939,0.618058205,1.044364691,0.110059818,0.25216198,0.206019402,0.348121564,0.006138298,0.002687941,0.00715763,0.004236958,0.07834729,0.051845354,0.084602776,0.065091917,0.271536112,0.400702953,0.3711133,0.500280142,0.172015905,0.355782986,0.246944904,0.430711985,0.443552017,0.756485939,0.618058205,0.930992126,0.221776009,0.37824297,0.309029102,0.465496063,0.004952136,0.001008902,0.007708895,0.002419864,0.070371413,0.031763214,0.087800315,0.049192116,0.417743444,0.546910286,0.492672443,0.621839285
chris,dingo,0.128144264,-0.065575838,0.062568426,0.073246479,0.201390743,0.138822317,-0.06120491,0.077617407,0.05890274,0.197725058,0.120107651,0.00099659,0.12110424,0.092759132,0.212866783,0.091762543,0.009879589,0.101642132,0.088231802,0.179994345,0.078352213,0.557188988,-0.11590457,0.362932205,0.313140154,0.791976929,0.111437798,-0.028976142,0.090733051,0.078285038,0.197994232,0.000646489,0.001595455,0.000668894,0.000236499,0.000185599,0.025426147,0.039943142,0.025862994,0.015378535,0.013623478,0.012041569,0.140185833,0.13214922,0.260293484,0.05989933,0.198721647,0.151661873,0.29048419,0.102638721,0.222746372,0.180990934,0.301098585,0.17457962,0.561653852,0.464802027,0.851876259,0.058193207,0.187217951,0.154934009,0.283958753,0.002054144,0.001803312,0.000604408,0.0004482,0.045322667,0.04246542,0.02458472,0.021170736,0.133145809,0.261290073,0.224908352,0.353052616,0.161541462,0.300363779,0.239893675,0.378715992,0.294687271,0.561653852,0.464802027,0.731768608,0.147343636,0.280826926,0.232401013,0.365884304,0.000403157,0.000763377,0.00011228,0.000329304,0.020078759,0.027629282,0.010596223,0.018146747,0.234787941,0.362932205,0.313140154,0.441284418
