Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
adhy,w_e,23_5,23,5,0.1522822380065918,-0.07343554496765137,0.07884669303894043,0.08847904205322266,0.24076128005981445,0.16191458702087402
adhy,e_n,5_14,5,14,0.16191458702087402,0.10286998748779297,0.264784574508667,0.24850726127624512,0.41042184829711914,0.14563727378845215
adhy,n_c,14_3,14,3,0.14563727378845215,0.022859811782836914,0.16849708557128906,0.17467737197875977,0.3203146457672119,0.15181756019592285
adhy,c_h,3_8,3,8,0.15181756019592285,-0.06406950950622559,0.08774805068969727,0.06392478942871094,0.2157423496246338,0.12799429893493652
adhy,e_a,5_1,5,1,0.11191344261169434,0.15150237083435059,0.2634158134460449,0.28813600540161133,0.40004944801330566,0.13663363456726074
adhy,a_r,1_18,1,18,0.13663363456726074,-0.0160520076751709,0.12058162689208984,0.1199958324432373,0.25662946701049805,0.1360478401184082
adhy,r_l,18_12,18,12,0.1360478401184082,-0.0803215503692627,0.05572628974914551,0.056243896484375,0.1922917366027832,0.1365654468536377
adhy,l_y,12_25,12,25,0.1365654468536377,0.04819083213806152,0.18475627899169922,0.14406967163085938,0.28063511848449707,0.09587883949279785
adhy,r_e,18_5,18,5,0.14417505264282227,-0.08862066268920898,0.05555438995361328,0.03152060508728027,0.17569565773010254,0.12014126777648926
adhy,e_l,5_12,5,12,0.12014126777648926,0.024039745330810547,0.1441810131072998,0.13606905937194824,0.2562103271484375,0.1120293140411377
adhy,l_a,12_1,12,1,0.1120293140411377,-0.08063578605651855,0.03139352798461914,0.03241610527038574,0.14444541931152344,0.1130518913269043
adhy,a_x,1_24,1,24,0.1130518913269043,0.14398670196533203,0.25703859329223633,0.26424598693847656,0.37729787826538086,0.12025928497314453
adhy,q_u,17_21,17,21,0.15277647972106934,-0.08112382888793945,0.07165265083312988,0.05498147010803223,0.20775794982910156,0.13610529899597168
adhy,u_i,21_9,21,9,0.13610529899597168,-0.07972407341003418,0.0563812255859375,0.07217097282409668,0.20827627182006836,0.15189504623413086
adhy,i_c,9_3,9,3,0.15189504623413086,0.0161592960357666,0.16805434226989746,0.14319133758544922,0.2950863838195801,0.12703204154968262
adhy,c_k,3_11,3,11,0.12703204154968262,-0.054537057876586914,0.0724949836730957,0.04856514930725098,0.1755971908569336,0.10310220718383789
adhy,x_e,24_5,24,5,0.0707404613494873,0.14502739906311035,0.21576786041259766,0.2881922721862793,0.3589327335357666,0.14316487312316895
adhy,e_r,5_18,5,18,0.14316487312316895,-0.01568126678466797,0.12748360633850098,0.11303853988647461,0.25620341300964355,0.12871980667114258
adhy,r_u,18_21,18,21,0.12871980667114258,-0.04812288284301758,0.080596923828125,0.05602002143859863,0.1847398281097412,0.10414290428161621
adhy,u_s,21_19,21,19,0.10414290428161621,-0.01589369773864746,0.08824920654296875,0.0957496166229248,0.19989252090454102,0.11164331436157227
adhy,r_i,18_9,18,9,0.13627910614013672,-0.08809018135070801,0.04818892478942871,0.02332448959350586,0.15960359573364258,0.11141467094421387
adhy,i_n,9_14,9,14,0.11141467094421387,0.0724630355834961,0.18387770652770996,0.18337273597717285,0.2947874069213867,0.11090970039367676
adhy,n_s,14_19,14,19,0.11090970039367676,0.11255550384521484,0.2234652042388916,0.26495838165283203,0.3758680820465088,0.1524028778076172
adhy,s_e,19_5,19,5,0.1524028778076172,-0.015091419219970703,0.13731145858764648,0.0477147102355957,0.2001175880432129,0.0628061294555664
adhy,h_e,8_5,8,5,0.1025547981262207,-0.023999452590942383,0.07855534553527832,0.136918306350708,0.2394731044769287,0.1609177589416504
adhy,e_r,5_18,5,18,0.1609177589416504,-0.0809171199798584,0.08000063896179199,0.03918766975402832,0.2001054286956787,0.12010478973388672
adhy,r_b,18_2,18,2,0.12010478973388672,0.09675145149230957,0.2168562412261963,0.19284510612487793,0.31294989585876465,0.09609365463256836
adhy,b_s,2_19,2,19,0.09609365463256836,0.04792904853820801,0.14402270317077637,0.16794395446777344,0.2640376091003418,0.12001490592956543
adhy,f_o,6_15,6,15,0.12834668159484863,-0.032605648040771484,0.09574103355407715,0.0945882797241211,0.22293496131896973,0.12719392776489258
adhy,o_a,15_1,15,1,0.12719392776489258,-0.023996591567993164,0.10319733619689941,0.08800172805786133,0.2151956558227539,0.11199831962585449
adhy,a_m,1_13,1,13,0.11199831962585449,-0.02399921417236328,0.08799910545349121,0.03999590873718262,0.1519942283630371,0.0639951229095459
adhy,m_y,13_25,13,25,0.0639951229095459,0.121429443359375,0.1854245662689209,0.1767890453338623,0.2407841682434082,0.055359601974487305
adhy,y_a,25_1,25,1,0.12019920349121094,0.2313835620880127,0.35158276557922363,0.38411402702331543,0.5043132305145264,0.15273046493530273
adhy,a_w,1_23,1,23,0.15273046493530273,0.02378988265991211,0.17652034759521484,0.14410018920898438,0.2968306541442871,0.12031030654907227
adhy,w_n,23_14,23,14,0.12031030654907227,-0.016181468963623047,0.10412883758544922,0.07180309295654297,0.19211339950561523,0.08798456192016602
adhy,n_s,14_19,14,19,0.08798456192016602,0.04029393196105957,0.12827849388122559,0.14483213424682617,0.2328166961669922,0.1045382022857666
adhy,d_i,4_9,4,9,0.17604875564575195,-0.0878305435180664,0.08821821212768555,0.07297515869140625,0.2490239143371582,0.16080570220947266
adhy,i_n,9_14,9,14,0.16080570220947266,-0.04865241050720215,0.11215329170227051,0.11945581436157227,0.2802615165710449,0.16810822486877441
adhy,n_g,14_7,14,7,0.16810822486877441,-0.05604720115661621,0.1120610237121582,0.0709836483001709,0.2390918731689453,0.1270308494567871
adhy,g_o,7_15,7,15,0.1270308494567871,-0.04799628257751465,0.07903456687927246,0.057008981704711914,0.18403983116149902,0.10500526428222656
adhy,d_e,4_5,4,5,0.12813282012939453,0.08003616333007812,0.20816898345947266,0.16841530799865723,0.29654812812805176,0.0883791446685791
adhy,e_a,5_1,5,1,0.0883791446685791,0.016000986099243164,0.10438013076782227,0.15077567100524902,0.23915481567382812,0.13477468490600586
adhy,a_t,1_20,1,20,0.13477468490600586,-0.039022207260131836,0.09575247764587402,0.09744000434875488,0.23221468925476074,0.13646221160888672
adhy,t_h,20_8,20,8,0.13646221160888672,-0.08152389526367188,0.054938316345214844,0.0318293571472168,0.16829156875610352,0.11335325241088867
adhy,u_n,21_14,21,14,0.08826255798339844,0.08722543716430664,0.17548799514770508,0.1677227020263672,0.2559852600097656,0.08049726486206055
adhy,n_z,14_26,14,26,0.08049726486206055,0.02398395538330078,0.10448122024536133,0.1515796184539795,0.23207688331604004,0.1275956630706787
adhy,z_i,26_9,26,9,0.1275956630706787,-0.06331777572631836,0.06427788734436035,0.08060693740844727,0.20820260047912598,0.14392471313476562
adhy,i_p,9_16,9,16,0.14392471313476562,-0.04903769493103027,0.09488701820373535,0.06399774551391602,0.20792245864868164,0.11303544044494629
adhy,d_o,4_15,4,15,0.10389089584350586,-0.03258824348449707,0.07130265235900879,0.09640002250671387,0.20029091835021973,0.12898826599121094
adhy,o_r,15_18,15,18,0.12898826599121094,-0.03222084045410156,0.09676742553710938,0.09568572044372559,0.22467398643493652,0.12790656089782715
adhy,r_k,18_11,18,11,0.12790656089782715,-0.05577516555786133,0.07213139533996582,0.0640108585357666,0.19191741943359375,0.11978602409362793
adhy,k_y,11_25,11,25,0.11978602409362793,0.05564308166503906,0.175429105758667,0.14365458488464355,0.2634406089782715,0.08801150321960449
adhy,t_h,20_8,20,8,0.10389542579650879,-0.07199287414550781,0.03190255165100098,0.0717463493347168,0.17564177513122559,0.1437392234802246
adhy,h_i,8_9,8,9,0.1437392234802246,-0.05574512481689453,0.08799409866333008,0.049021244049072266,0.19276046752929688,0.1047663688659668
adhy,i_c,9_3,9,3,0.1047663688659668,0.014995574951171875,0.11976194381713867,0.14373207092285156,0.24849843978881836,0.1287364959716797
adhy,c_k,3_11,3,11,0.1287364959716797,-0.0561671257019043,0.07256937026977539,0.05572032928466797,0.18445682525634766,0.11188745498657227
adhy,n_a,14_1,14,1,0.1039426326751709,0.024237871170043945,0.12818050384521484,0.10379266738891602,0.20773530006408691,0.07955479621887207
adhy,a_s,1_19,1,19,0.07955479621887207,-0.0237576961517334,0.05579710006713867,0.13625001907348633,0.2158048152923584,0.16000771522521973
adhy,s_a,19_1,19,1,0.16000771522521973,-0.023445606231689453,0.13656210899353027,0.11103105545043945,0.2710387706756592,0.1344766616821289
adhy,a_l,1_12,1,12,0.1344766616821289,-0.05599808692932129,0.07847857475280762,0.025023937225341797,0.1595005989074707,0.08102202415466309
adhy,e_m,5_13,5,13,0.12708425521850586,-0.015329122543334961,0.1117551326751709,0.06433558464050293,0.1914198398590088,0.07966470718383789
adhy,m_a,13_1,13,1,0.07966470718383789,-0.024441242218017578,0.05522346496582031,0.1674506664276123,0.2471153736114502,0.19189190864562988
adhy,a_i,1_9,1,9,0.19189190864562988,-0.11989903450012207,0.07199287414550781,0.015991687774658203,0.20788359642028809,0.13589072227478027
adhy,i_l,9_12,9,12,0.13589072227478027,-0.05599570274353027,0.07989501953125,0.0638887882232666,0.19977951049804688,0.11988449096679688
adhy,g_i,7_9,7,9,0.1519157886505127,-0.08820772171020508,0.06370806694030762,0.03980660438537598,0.19172239303588867,0.12801432609558105
adhy,i_p,9_16,9,16,0.12801432609558105,0.1749570369720459,0.30297136306762695,0.30394792556762695,0.431962251663208,0.12899088859558105
adhy,p_s,16_19,16,19,0.12899088859558105,0.015645742416381836,0.1446366310119629,0.09611010551452637,0.22510099411010742,0.08046436309814453
adhy,s_y,19_25,19,25,0.08046436309814453,-0.04771780967712402,0.03274655342102051,0.03987240791320801,0.12033677101135254,0.08759021759033203
adhy,w_a,23_1,23,1,0.08016490936279297,0.1193242073059082,0.19948911666870117,0.2718796730041504,0.35204458236694336,0.1525554656982422
adhy,a_k,1_11,1,11,0.1525554656982422,0.19177985191345215,0.34433531761169434,0.2877471446990967,0.44030261039733887,0.09596729278564453
adhy,k_e,11_5,11,5,0.09596729278564453,0.06391453742980957,0.1598818302154541,0.2402029037475586,0.3361701965332031,0.17628836631774902
adhy,e_s,5_19,5,19,0.17628836631774902,0.11150836944580078,0.2877967357635498,0.20814037322998047,0.3844287395477295,0.09663200378417969
adhy,z_i,26_9,26,9,0.1681821346282959,-0.1205282211303711,0.047653913497924805,0.02406597137451172,0.19224810600280762,0.1445941925048828
adhy,i_n,9_14,9,14,0.1445941925048828,-0.04847288131713867,0.09612131118774414,0.07986807823181152,0.22446227073669434,0.1283409595489502
adhy,n_g,14_7,14,7,0.1283409595489502,-0.04004859924316406,0.08829236030578613,0.1199953556060791,0.2483363151550293,0.16004395484924316
adhy,g_s,7_19,7,19,0.16004395484924316,-0.07000327110290527,0.09004068374633789,0.05573868751525879,0.21578264236450195,0.12574195861816406
adhy,m_o,13_15,13,15,0.11146974563598633,0.023988008499145508,0.13545775413513184,0.09667038917541504,0.20814013481140137,0.07268238067626953
adhy,o_n,15_14,15,14,0.07268238067626953,-0.01700448989868164,0.05567789077758789,0.12773990631103516,0.2004222869873047,0.1447443962097168
adhy,n_k,14_11,14,11,0.1447443962097168,-0.03999590873718262,0.10474848747253418,0.07099485397338867,0.21573925018310547,0.11099076271057129
adhy,k_s,11_19,11,19,0.11099076271057129,-0.04699969291687012,0.06399106979370117,0.0565943717956543,0.16758513450622559,0.10359406471252441
adhy,g_e,7_5,7,5,0.07999944686889648,0.04800057411193848,0.12800002098083496,0.1600022315979004,0.24000167846679688,0.11200165748596191
