,Results,Prediction,Accuracy,"cy, jc, jonah 113/144"
0,andy,cy,0.708749,Nope
1,andy,cy,0.6666499,Nope
2,andy,jonah,0.95979893,Nope
3,andy,cy,0.90059835,Nope
4,andy,cy,0.98546684,Nope
5,andy,cy,0.8759564,Nope
6,andy,cy,0.9996946,Nope
7,andy,cy,0.99422175,Nope
8,andy,jonah,0.5542215,Nope
9,andy,cy,0.9999722,Nope
10,andy,cy,0.9999747,Nope
11,andy,cy,0.9995796,Nope
12,andy,cy,0.9858754,Nope
13,andy,cy,0.9999366,Nope
14,andy,cy,0.7468965,Nope
15,andy,cy,0.9999728,Nope
16,andy,cy,0.99997663,Nope
17,andy,cy,0.99996233,Nope
18,andy,jonah,0.7164128,Nope
19,andy,cy,0.9201174,Nope
20,andy,jonah,0.9363889,Nope
21,andy,cy,0.98950434,Nope
22,andy,cy,0.9962812,Nope
23,andy,cy,0.9581566,Nope
24,andy,jonah,0.9631826,Nope
25,andy,jonah,0.959406,Nope
26,andy,jonah,0.9490144,Nope
27,andy,jonah,0.9397597,Nope
28,andy,jonah,0.92408764,Nope
29,andy,jonah,0.95557034,Nope
30,andy,cy,0.948239,Nope
31,andy,cy,0.9969317,Nope
32,andy,cy,0.9983979,Nope
33,andy,cy,0.9958377,Nope
34,andy,cy,0.9999746,Nope
35,andy,cy,0.9999372,Nope
36,andy,cy,0.9573894,Nope
37,andy,cy,0.998877,Nope
38,andy,cy,0.99828714,Nope
39,andy,cy,0.99095505,Nope
40,andy,cy,0.7401959,Nope
41,andy,cy,0.9999635,Nope
42,andy,cy,0.9808622,Nope
43,andy,cy,0.99959975,Nope
44,andy,cy,0.9994042,Nope
45,andy,cy,0.9931183,Nope
46,andy,cy,0.7704705,Nope
47,andy,cy,0.99991226,Nope
48,azfar,jc,0.9995485,Nope
49,azfar,jc,0.99213976,Nope
50,azfar,jc,0.7897498,Nope
51,azfar,jonah,0.99959797,Nope
52,azfar,jc,0.90148824,Nope
53,azfar,jc,0.8272247,Nope
54,azfar,jc,0.9807998,Nope
55,azfar,jc,0.9528852,Nope
56,azfar,cy,0.88052994,Nope
57,azfar,jonah,0.99971324,Nope
58,azfar,cy,0.9610136,Nope
59,azfar,cy,0.95478475,Nope
60,azfar,jc,0.99953914,Nope
61,azfar,jc,0.99494123,Nope
62,azfar,cy,0.6986821,Nope
63,azfar,jonah,0.99971193,Nope
64,azfar,cy,0.7389313,Nope
65,azfar,cy,0.7635961,Nope
66,azfar,jc,0.9992834,Nope
67,azfar,jc,0.9876759,Nope
68,azfar,cy,0.9325244,Nope
69,azfar,jonah,0.9997012,Nope
70,azfar,cy,0.9220887,Nope
71,azfar,cy,0.9746807,Nope
72,azfar,jc,0.8136391,Nope
73,azfar,cy,0.9773144,Nope
74,azfar,cy,0.55972165,Nope
75,azfar,cy,0.98105615,Nope
76,azfar,cy,0.9999733,Nope
77,azfar,cy,0.9999777,Nope
78,azfar,jonah,0.9649314,Nope
79,azfar,jonah,0.9611875,Nope
80,azfar,jonah,0.9625119,Nope
81,azfar,jonah,0.99972147,Nope
82,azfar,jonah,0.9996939,Nope
83,azfar,jonah,0.9924809,Nope
84,azfar,jc,0.6740079,Nope
85,azfar,cy,0.99848205,Nope
86,azfar,cy,0.9129497,Nope
87,azfar,cy,0.9905731,Nope
88,azfar,cy,0.9999759,Nope
89,azfar,jonah,0.9994324,Nope
90,azfar,jc,0.5828486,Nope
91,azfar,cy,0.982735,Nope
92,azfar,cy,0.84686095,Nope
93,azfar,cy,0.9870847,Nope
94,azfar,cy,0.9999198,Nope
95,azfar,jonah,0.9989355,Nope
96,ch,jc,0.78037757,Nope
97,ch,jc,0.9995241,Nope
98,ch,jc,0.99875593,Nope
99,ch,jc,0.9980223,Nope
100,ch,jc,0.98706996,Nope
101,ch,jonah,0.6689473,Nope
102,ch,jc,0.9522143,Nope
103,ch,jc,0.9994954,Nope
104,ch,jc,0.99939907,Nope
105,ch,jc,0.9993462,Nope
106,ch,jc,0.99550974,Nope
107,ch,jc,0.6896481,Nope
108,ch,jc,0.99939466,Nope
109,ch,jc,0.9215985,Nope
110,ch,jc,0.99286026,Nope
111,ch,jc,0.93575776,Nope
112,ch,jc,0.6986963,Nope
113,ch,jonah,0.999652,Nope
114,ch,jc,0.99961036,Nope
115,ch,jc,0.99943405,Nope
116,ch,jc,0.99961567,Nope
117,ch,jc,0.9995914,Nope
118,ch,jc,0.99796486,Nope
119,ch,jc,0.9427636,Nope
120,ch,jc,0.9995995,Nope
121,ch,jc,0.99912316,Nope
122,ch,jc,0.81981885,Nope
123,ch,jc,0.99952674,Nope
124,ch,jc,0.9936557,Nope
125,ch,jc,0.54081744,Nope
126,ch,jc,0.99931455,Nope
127,ch,jc,0.9759294,Nope
128,ch,jonah,0.95850635,Nope
129,ch,jc,0.9949988,Nope
130,ch,jc,0.963044,Nope
131,ch,jonah,0.935754,Nope
132,ch,jc,0.9996203,Nope
133,ch,jc,0.99939704,Nope
134,ch,jc,0.9137079,Nope
135,ch,jc,0.9995072,Nope
136,ch,jc,0.9990107,Nope
137,ch,jc,0.9989661,Nope
138,ch,jonah,0.762506,Nope
139,ch,jonah,0.94577074,Nope
140,ch,jonah,0.9997423,Nope
141,ch,jonah,0.8534113,Nope
142,ch,jonah,0.9585288,Nope
143,ch,jonah,0.9469854,Nope
144,cy,cy,0.99989307,Match
145,cy,cy,0.99997306,Match
146,cy,cy,0.9867416,Match
147,cy,cy,0.9999783,Match
148,cy,cy,0.9951302,Match
149,cy,cy,0.99997807,Match
150,cy,jonah,0.7718824,Nope
151,cy,jonah,0.53403014,Nope
152,cy,jc,0.6671394,Nope
