Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
qk,a_n,1_14,1,14,0.136360884,0.141061068,0.277421951,0.244667768,0.381028652,0.103606701
qk,n_d,14_4,14,4,0.103606701,0.063436031,0.167042732,0.157809019,0.26141572,0.094372988
qk,d_y,4_25,4,25,0.094372988,0.04735136,0.141724348,0.141378403,0.23575139,0.094027042
qk,y_b,25_2,25,2,0.094027042,0.23443222,0.328459263,0.350249529,0.444276571,0.115817308
qk,b_1,2_91,2,91,0.115817308,0.20502305,0.320840359,0.319792509,0.435609818,0.114769459
qk,1_t,91_20,91,20,0.114769459,0.478359222,0.593128681,0.570934296,0.685703754,0.092575073
qk,t_c,20_3,20,3,0.092575073,0.208478928,0.301054001,0.340571165,0.433146238,0.132092237
qk,a_n,1_14,1,14,0.125102282,0.079139471,0.204241753,0.172864199,0.29796648,0.093724728
qk,n_d,14_4,14,4,0.093724728,0.031253099,0.124977827,0.144551516,0.238276243,0.113298416
qk,d_y,4_25,4,25,0.113298416,0.031253099,0.144551516,0.125006914,0.23830533,0.093753815
qk,y_b,25_2,25,2,0.093753815,0.394210577,0.487964392,0.487962723,0.581716537,0.093752146
qk,b_1,2_91,2,91,0.093752146,0.047513485,0.141265631,0.166954041,0.260706186,0.119440556
qk,1_t,91_20,91,20,0.119440556,0.127997398,0.247437954,0.191668034,0.311108589,0.063670635
qk,t_c,20_3,20,3,0.063670635,0.191945314,0.25561595,0.301269054,0.36493969,0.10932374
qk,a_n,1_14,1,14,0.11584425,0.07848525,0.1943295,0.172375441,0.28821969,0.09389019
qk,n_d,14_4,14,4,0.09389019,0.124986887,0.218877077,0.249980927,0.343871117,0.12499404
qk,d_y,4_25,4,25,0.12499404,0,0.12499404,0.082370996,0.207365036,0.082370996
qk,y_b,25_2,25,2,0.082370996,0.109481573,0.19185257,0.203220129,0.285591125,0.093738556
qk,b_1,2_91,2,91,0.093738556,0.015628099,0.109366655,0.125507355,0.219245911,0.109879255
qk,1_t,91_20,91,20,0.109879255,0.140597105,0.25047636,0.20309782,0.312977076,0.062500715
qk,t_c,20_3,20,3,0.062500715,0.203422785,0.2659235,0.313295126,0.375795841,0.109872341
qk,a_n,1_14,1,14,0.140601397,0.031241417,0.171842813,0.12244916,0.263050556,0.091207743
qk,n_d,14_4,14,4,0.091207743,0.016706228,0.107913971,0.110454798,0.20166254,0.093748569
qk,d_y,4_25,4,25,0.093748569,0.031263351,0.125011921,0.09375,0.187498569,0.062486649
qk,y_b,25_2,25,2,0.062486649,0.203092575,0.265579224,0.281224489,0.343711138,0.078131914
qk,b_1,2_91,2,91,0.078131914,0.124973536,0.20310545,0.219878197,0.298010111,0.094904661
qk,1_t,91_20,91,20,0.094904661,0.109376192,0.204280853,0.187482834,0.282387495,0.078106642
qk,t_c,20_3,20,3,0.078106642,0.129191399,0.20729804,0.239611149,0.317717791,0.11041975
qk,a_n,1_14,1,14,0.203740835,0.371558666,0.575299501,0.450026751,0.653767586,0.078468084
qk,n_d,14_4,14,4,0.078468084,0.093752861,0.172220945,0.187474489,0.265942574,0.093721628
