,Actual,Prediction,Accuracy,59/60 (98.33333333333333%)
0,andy,andy,0.9962311387062073,match
1,andy,andy,0.9961477518081665,match
2,andy,andy,0.9961673617362976,match
3,andy,andy,0.9961975812911987,match
4,andy,andy,0.9961475133895874,match
5,azfar,azfar,0.9951192140579224,match
6,azfar,azfar,0.9949925541877747,match
7,azfar,azfar,0.9949931502342224,match
8,azfar,azfar,0.9949795603752136,match
9,azfar,azfar,0.9946395754814148,match
10,bryce,bryce,0.9262945055961609,match
11,bryce,bryce,0.9277772307395935,match
12,bryce,bryce,0.8835185766220093,match
13,bryce,bryce,0.8877411484718323,match
14,bryce,bryce,0.895932674407959,match
15,chris,chris,0.9064554572105408,match
16,chris,chris,0.906549870967865,match
17,chris,chris,0.9042730927467346,match
18,chris,chris,0.8809787034988403,match
19,chris,chris,0.905188262462616,match
20,cy,cy,0.9954076409339905,match
21,cy,cy,0.99595707654953,match
22,cy,cy,0.9958200454711914,match
23,cy,cy,0.9958322644233704,match
24,cy,cy,0.9954414367675781,match
25,gerald,gerald,0.9602978825569153,match
26,gerald,gerald,0.9606478810310364,match
27,gerald,gerald,0.9607635140419006,match
28,gerald,gerald,0.9601490497589111,match
29,gerald,gerald,0.9574702978134155,match
30,ken,ken,0.9883771538734436,match
31,ken,ken,0.9883701801300049,match
32,ken,ken,0.988271176815033,match
33,ken,ken,0.9882978796958923,match
34,ken,ken,0.9883805513381958,match
35,qk,qk,0.9498127102851868,match
36,qk,qk,0.9507798552513123,match
37,qk,qk,0.9511042237281799,match
38,qk,qk,0.9508621692657471,match
39,qk,qk,0.9393941164016724,match
40,sz,qk,0.8936384916305542,nope
41,sz,sz,0.9909301400184631,match
42,sz,sz,0.9911909699440002,match
43,sz,sz,0.9908860921859741,match
44,sz,sz,0.9907434582710266,match
45,vale,vale,0.9867070913314819,match
46,vale,vale,0.9938997030258179,match
47,vale,vale,0.9938361048698425,match
48,vale,vale,0.9937729239463806,match
49,vale,vale,0.993871808052063,match
50,ye,ye,0.9812598824501038,match
51,ye,ye,0.9814855456352234,match
52,ye,ye,0.9810428619384766,match
53,ye,ye,0.981145977973938,match
54,ye,ye,0.9814490675926208,match
55,ys,ys,0.9916574358940125,match
56,ys,ys,0.9754335880279541,match
57,ys,ys,0.9933363199234009,match
58,ys,ys,0.9547319412231445,match
59,ys,ys,0.993444561958313,match
