,key,press_time,release_time
0,'c',1659371708.9247222,1659371709.0119338
1,'0',1659371709.9325662,1659371710.076638
2,'5',1659371710.7121441,1659371710.8568604
3,'m',1659371711.8413534,1659371711.9411173
4,'i',1659371712.6686566,1659371712.7766562
5,'c',1659371713.1881223,1659371713.2966142
6,'a',1659371713.7167192,1659371713.8127859
7,'l',1659371713.996712,1659371714.0806699
0,'c',1659371718.5566862,1659371718.6690714
1,'0',1659371720.6607034,1659371720.7287235
2,'5',1659371721.4041772,1659371721.5413117
3,'m',1659371722.1134062,1659371722.1886299
4,'i',1659371722.2669919,1659371722.3419726
5,'c',1659371722.4292777,1659371722.5165951
6,'a',1659371722.7441165,1659371722.864657
7,'l',1659371722.9641423,1659371723.0526185
0,'c',1659371725.9486523,1659371726.024613
1,'0',1659371726.4242976,1659371726.4718251
2,'5',1659371727.9537601,1659371728.0591462
3,'m',1659371728.8233464,1659371728.8720305
4,'i',1659371728.9608214,1659371729.0360198
5,'c',1659371729.093361,1659371729.1803572
6,'a',1659371729.4391067,1659371729.5446632
7,'l',1659371729.7124999,1659371729.7963197
0,'c',1659371733.05456,1659371733.1606057
1,'0',1659371734.0919282,1659371734.152946
2,'5',1659371734.524417,1659371734.6190116
3,'m',1659371734.7966454,1659371734.8527434
4,'i',1659371734.9320443,1659371735.0047154
5,'c',1659371735.0485544,1659371735.1281416
6,'a',1659371735.2604291,1659371735.329051
7,'l',1659371735.4246738,1659371735.4892848
0,'c',1659371738.1213686,1659371738.2723784
1,'0',1659371739.404533,1659371739.463868
2,'5',1659371740.2800734,1659371740.3647058
3,'m',1659371740.7190635,1659371740.7926643
4,'i',1659371740.8736906,1659371740.9443393
5,'c',1659371741.0326958,1659371741.1047094
6,'a',1659371741.260018,1659371741.3402455
7,'l',1659371741.4289706,1659371741.5210335
0,'p',1659371758.7995303,1659371758.8925717
1,'l',1659371759.0403264,1659371759.111823
2,'a',1659371759.6366174,1659371759.7559304
3,'y',1659371760.131499,1659371760.2606633
4,'4',1659371761.0323298,1659371761.1390185
5,'p',1659371761.371685,1659371761.4482427
6,'a',1659371761.5885766,1659371761.7206323
7,'y',1659371762.0445209,1659371762.168503
