,Actual,Prediction,Accuracy,57/60 (95.0%)
0,andy,andy,0.9952804446220398,match
1,andy,andy,0.9945563077926636,match
2,andy,andy,0.9947975873947144,match
3,andy,andy,0.9951233267784119,match
4,andy,andy,0.9953834414482117,match
5,azfar,azfar,0.9948036074638367,match
6,azfar,azfar,0.9951022863388062,match
7,azfar,azfar,0.9944921731948853,match
8,azfar,azfar,0.9951242804527283,match
9,azfar,azfar,0.9950855374336243,match
10,bryce,chris,0.8792365789413452,nope
11,bryce,bryce,0.9234075546264648,match
12,bryce,bryce,0.8998992443084717,match
13,bryce,bryce,0.9118168354034424,match
14,bryce,bryce,0.9208055734634399,match
15,chris,chris,0.9090232253074646,match
16,chris,chris,0.9016588926315308,match
17,chris,chris,0.9039557576179504,match
18,chris,chris,0.6342695355415344,match
19,chris,chris,0.9047422409057617,match
20,cy,cy,0.9963884353637695,match
21,cy,cy,0.9962104558944702,match
22,cy,cy,0.9962683916091919,match
23,cy,cy,0.9963908791542053,match
24,cy,cy,0.996116042137146,match
25,gerald,gerald,0.9605289697647095,match
26,gerald,gerald,0.9605175256729126,match
27,gerald,gerald,0.9604085683822632,match
28,gerald,gerald,0.9603266716003418,match
29,gerald,gerald,0.9597356915473938,match
30,ken,ken,0.9884001016616821,match
31,ken,ken,0.9877555966377258,match
32,ken,ken,0.9882346391677856,match
33,ken,ken,0.8199107050895691,match
34,ken,ken,0.9883479475975037,match
35,qk,gerald,0.7654681205749512,nope
36,qk,qk,0.9513174891471863,match
37,qk,qk,0.951410710811615,match
38,qk,qk,0.9516502022743225,match
39,qk,qk,0.951572597026825,match
40,sz,qk,0.9461561441421509,nope
41,sz,sz,0.9806450009346008,match
42,sz,sz,0.9907970428466797,match
43,sz,sz,0.9902132153511047,match
44,sz,sz,0.9907454252243042,match
45,vale,vale,0.9939658045768738,match
46,vale,vale,0.9938902854919434,match
47,vale,vale,0.9937028288841248,match
48,vale,vale,0.9940251708030701,match
49,vale,vale,0.9941617846488953,match
50,ye,ye,0.9805389642715454,match
51,ye,ye,0.9811024069786072,match
52,ye,ye,0.9754491448402405,match
53,ye,ye,0.9812412858009338,match
54,ye,ye,0.9815139174461365,match
55,ys,ys,0.9950222969055176,match
56,ys,ys,0.9954364895820618,match
57,ys,ys,0.9950727820396423,match
58,ys,ys,0.994911253452301,match
59,ys,ys,0.9951853156089783,match
