,Results,Prediction,Accuracy,44/60,NEW MODEL
0,andy,andy,0.975579,Match,
1,andy,andy,0.9744418,Match,
2,andy,andy,0.9739439,Match,
3,andy,andy,0.9690893,Match,
4,andy,andy,0.9754833,Match,
5,azfar,azfar,0.8913001,Match,
6,azfar,azfar,0.8429772,Match,
7,azfar,azfar,0.89076513,Match,
8,azfar,chris,0.46672392,Nope,
9,azfar,chris,0.8074221,Nope,
10,bryce,cy,0.7150306,Nope,
11,bryce,bryce,0.9425983,Match,
12,bryce,bryce,0.94184434,Match,
13,bryce,bryce,0.8214919,Match,
14,bryce,bryce,0.9388618,Match,
15,chris,chris,0.43119973,Match,
16,chris,chris,0.80732894,Match,
17,chris,chris,0.807287,Match,
18,chris,chris,0.8022468,Match,
19,chris,chris,0.5578151,Match,
20,cy,cy,0.82022697,Match,
21,cy,cy,0.8660573,Match,
22,cy,cy,0.8641271,Match,
23,cy,cy,0.8577295,Match,
24,cy,cy,0.8070994,Match,
25,gerald,gerald,0.4809165,Match,
26,gerald,gerald,0.54180014,Match,
27,gerald,ken,0.4169865,Nope,
28,gerald,qk,0.5383703,Nope,
29,gerald,qk,0.3609225,Nope,
30,ken,qk,0.30534008,Nope,
31,ken,ken,0.42034075,Match,
32,ken,ken,0.35968217,Match,
33,ken,ken,0.34538692,Match,
34,ken,chris,0.5529643,Nope,
35,qk,qk,0.5400752,Match,
36,qk,qk,0.5086886,Match,
37,qk,qk,0.5392719,Match,
38,qk,ys,0.7953947,Nope,
39,qk,qk,0.49298307,Match,
40,sz,sz,0.45842415,Match,
41,sz,chris,0.3836927,Nope,
42,sz,qk,0.49931002,Nope,
43,sz,sz,0.4537722,Match,
44,sz,sz,0.32563958,Match,
45,vale,bryce,0.58560973,Nope,
46,vale,bryce,0.6091882,Nope,
47,vale,cy,0.86011094,Nope,
48,vale,vale,0.9207774,Match,
49,vale,cy,0.87168705,Nope,
50,ye,ye,0.77287155,Match,
51,ye,ye,0.7722579,Match,
52,ye,ye,0.77419174,Match,
53,ye,ye,0.7726172,Match,
54,ye,gerald,0.5698267,Nope,
55,ys,ys,0.8334244,Match,
56,ys,ys,0.82918817,Match,
57,ys,ys,0.8345764,Match,
58,ys,ys,0.83247524,Match,
59,ys,ys,0.8414145,Match,
